# Region type : surface bottom
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	3.574058e+00	-2.412562e-01	3.815314e+00
30.0015       	1.953640e-06	3.574037e+00	-2.412578e-01	3.815295e+00
30.0029       	1.953640e-06	3.574017e+00	-2.412593e-01	3.815277e+00
30.0044       	1.953640e-06	3.573997e+00	-2.412610e-01	3.815258e+00
30.0059       	1.953640e-06	3.573977e+00	-2.412626e-01	3.815240e+00
30.0074       	1.953640e-06	3.573958e+00	-2.412642e-01	3.815222e+00
30.0088       	1.953640e-06	3.573938e+00	-2.412658e-01	3.815204e+00
30.0103       	1.953640e-06	3.573918e+00	-2.412675e-01	3.815186e+00
30.0118       	1.953640e-06	3.573899e+00	-2.412692e-01	3.815168e+00
30.0133       	1.953640e-06	3.573880e+00	-2.412708e-01	3.815150e+00
30.0147       	1.953640e-06	3.573860e+00	-2.412725e-01	3.815133e+00
30.0162       	1.953640e-06	3.573841e+00	-2.412742e-01	3.815116e+00
30.0177       	1.953640e-06	3.573822e+00	-2.412759e-01	3.815098e+00
30.0191       	1.953640e-06	3.573803e+00	-2.412776e-01	3.815081e+00
30.0206       	1.953640e-06	3.573785e+00	-2.412794e-01	3.815064e+00
30.0221       	1.953640e-06	3.573766e+00	-2.412811e-01	3.815047e+00
30.0236       	1.953640e-06	3.573747e+00	-2.412829e-01	3.815030e+00
30.025        	1.953640e-06	3.573729e+00	-2.412846e-01	3.815014e+00
30.0265       	1.953640e-06	3.573711e+00	-2.412864e-01	3.814997e+00
30.028        	1.953640e-06	3.573692e+00	-2.412882e-01	3.814981e+00
30.0295       	1.953640e-06	3.573674e+00	-2.412900e-01	3.814964e+00
30.0309       	1.953640e-06	3.573656e+00	-2.412918e-01	3.814948e+00
30.0324       	1.953640e-06	3.573638e+00	-2.412936e-01	3.814932e+00
30.0339       	1.953640e-06	3.573621e+00	-2.412954e-01	3.814916e+00
30.0353       	1.953640e-06	3.573603e+00	-2.412972e-01	3.814900e+00
30.0368       	1.953640e-06	3.573585e+00	-2.412991e-01	3.814884e+00
30.0383       	1.953640e-06	3.573568e+00	-2.413010e-01	3.814869e+00
30.0398       	1.953640e-06	3.573551e+00	-2.413028e-01	3.814853e+00
30.0412       	1.953640e-06	3.573533e+00	-2.413047e-01	3.814838e+00
30.0427       	1.953640e-06	3.573516e+00	-2.413066e-01	3.814823e+00
30.0442       	1.953640e-06	3.573499e+00	-2.413085e-01	3.814808e+00
30.0457       	1.953640e-06	3.573482e+00	-2.413104e-01	3.814793e+00
30.0471       	1.953640e-06	3.573465e+00	-2.413123e-01	3.814778e+00
30.0486       	1.953640e-06	3.573449e+00	-2.413143e-01	3.814763e+00
30.0501       	1.953640e-06	3.573432e+00	-2.413162e-01	3.814748e+00
30.0516       	1.953640e-06	3.573416e+00	-2.413182e-01	3.814734e+00
30.053        	1.953640e-06	3.573399e+00	-2.413201e-01	3.814719e+00
30.0545       	1.953640e-06	3.573383e+00	-2.413221e-01	3.814705e+00
30.056        	1.953640e-06	3.573367e+00	-2.413241e-01	3.814691e+00
30.0574       	1.953640e-06	3.573351e+00	-2.413261e-01	3.814677e+00
30.0589       	1.953640e-06	3.573335e+00	-2.413281e-01	3.814663e+00
30.0604       	1.953640e-06	3.573319e+00	-2.413301e-01	3.814649e+00
30.0619       	1.953640e-06	3.573304e+00	-2.413321e-01	3.814636e+00
30.0633       	1.953640e-06	3.573288e+00	-2.413341e-01	3.814622e+00
30.0648       	1.953640e-06	3.573273e+00	-2.413362e-01	3.814609e+00
30.0663       	1.953640e-06	3.573257e+00	-2.413383e-01	3.814595e+00
30.0678       	1.953640e-06	3.573242e+00	-2.413403e-01	3.814582e+00
30.0692       	1.953640e-06	3.573227e+00	-2.413424e-01	3.814569e+00
30.0707       	1.953640e-06	3.573212e+00	-2.413445e-01	3.814556e+00
30.0722       	1.953640e-06	3.573197e+00	-2.413466e-01	3.814543e+00
30.0737       	1.953640e-06	3.573182e+00	-2.413487e-01	3.814531e+00
30.0751       	1.953640e-06	3.573167e+00	-2.413508e-01	3.814518e+00
30.0766       	1.953640e-06	3.573153e+00	-2.413529e-01	3.814506e+00
30.0781       	1.953640e-06	3.573138e+00	-2.413551e-01	3.814493e+00
30.0796       	1.953640e-06	3.573124e+00	-2.413572e-01	3.814481e+00
30.081        	1.953640e-06	3.573110e+00	-2.413594e-01	3.814469e+00
30.0825       	1.953640e-06	3.573096e+00	-2.413616e-01	3.814457e+00
30.084        	1.953640e-06	3.573082e+00	-2.413637e-01	3.814445e+00
30.0854       	1.953640e-06	3.573068e+00	-2.413659e-01	3.814434e+00
30.0869       	1.953640e-06	3.573054e+00	-2.413681e-01	3.814422e+00
30.0884       	1.953640e-06	3.573040e+00	-2.413703e-01	3.814410e+00
30.0899       	1.953640e-06	3.573027e+00	-2.413726e-01	3.814399e+00
30.0913       	1.953640e-06	3.573013e+00	-2.413748e-01	3.814388e+00
30.0928       	1.953640e-06	3.573000e+00	-2.413770e-01	3.814377e+00
30.0943       	1.953640e-06	3.572987e+00	-2.413793e-01	3.814366e+00
30.0958       	1.953640e-06	3.572973e+00	-2.413815e-01	3.814355e+00
30.0972       	1.953640e-06	3.572960e+00	-2.413838e-01	3.814344e+00
30.0987       	1.953640e-06	3.572947e+00	-2.413861e-01	3.814334e+00
30.1002       	1.953640e-06	3.572935e+00	-2.413884e-01	3.814323e+00
30.1017       	1.953640e-06	3.572922e+00	-2.413907e-01	3.814313e+00
30.1031       	1.953640e-06	3.572909e+00	-2.413930e-01	3.814302e+00
30.1046       	1.953640e-06	3.572897e+00	-2.413953e-01	3.814292e+00
30.1061       	1.953640e-06	3.572885e+00	-2.413976e-01	3.814282e+00
30.1075       	1.953640e-06	3.572872e+00	-2.413999e-01	3.814272e+00
30.109        	1.953640e-06	3.572860e+00	-2.414023e-01	3.814263e+00
30.1105       	1.953640e-06	3.572848e+00	-2.414047e-01	3.814253e+00
30.112        	1.953640e-06	3.572836e+00	-2.414070e-01	3.814243e+00
30.1134       	1.953640e-06	3.572825e+00	-2.414094e-01	3.814234e+00
30.1149       	1.953640e-06	3.572813e+00	-2.414118e-01	3.814225e+00
30.1164       	1.953640e-06	3.572801e+00	-2.414142e-01	3.814215e+00
30.1179       	1.953640e-06	3.572790e+00	-2.414166e-01	3.814206e+00
30.1193       	1.953640e-06	3.572779e+00	-2.414190e-01	3.814198e+00
30.1208       	1.953640e-06	3.572767e+00	-2.414214e-01	3.814189e+00
30.1223       	1.953640e-06	3.572756e+00	-2.414238e-01	3.814180e+00
