# Region type : surface middle
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	3.803211e+00	3.733893e-02	3.765872e+00
30.0015       	1.953640e-06	3.803201e+00	3.733174e-02	3.765869e+00
30.0029       	1.953640e-06	3.803191e+00	3.732456e-02	3.765867e+00
30.0044       	1.953640e-06	3.803181e+00	3.731740e-02	3.765864e+00
30.0059       	1.953640e-06	3.803172e+00	3.731024e-02	3.765862e+00
30.0074       	1.953640e-06	3.803163e+00	3.730309e-02	3.765860e+00
30.0088       	1.953640e-06	3.803154e+00	3.729595e-02	3.765858e+00
30.0103       	1.953640e-06	3.803145e+00	3.728882e-02	3.765856e+00
30.0118       	1.953640e-06	3.803136e+00	3.728170e-02	3.765855e+00
30.0133       	1.953640e-06	3.803128e+00	3.727458e-02	3.765854e+00
30.0147       	1.953640e-06	3.803120e+00	3.726748e-02	3.765853e+00
30.0162       	1.953640e-06	3.803112e+00	3.726038e-02	3.765852e+00
30.0177       	1.953640e-06	3.803105e+00	3.725329e-02	3.765852e+00
30.0191       	1.953640e-06	3.803098e+00	3.724621e-02	3.765851e+00
30.0206       	1.953640e-06	3.803091e+00	3.723914e-02	3.765851e+00
30.0221       	1.953640e-06	3.803084e+00	3.723207e-02	3.765852e+00
30.0236       	1.953640e-06	3.803077e+00	3.722502e-02	3.765852e+00
30.025        	1.953640e-06	3.803071e+00	3.721797e-02	3.765853e+00
30.0265       	1.953640e-06	3.803065e+00	3.721093e-02	3.765854e+00
30.028        	1.953640e-06	3.803059e+00	3.720390e-02	3.765855e+00
30.0295       	1.953640e-06	3.803053e+00	3.719688e-02	3.765857e+00
30.0309       	1.953640e-06	3.803048e+00	3.718987e-02	3.765858e+00
30.0324       	1.953640e-06	3.803043e+00	3.718286e-02	3.765860e+00
30.0339       	1.953640e-06	3.803038e+00	3.717587e-02	3.765862e+00
30.0353       	1.953640e-06	3.803034e+00	3.716888e-02	3.765865e+00
30.0368       	1.953640e-06	3.803029e+00	3.716191e-02	3.765867e+00
30.0383       	1.953640e-06	3.803025e+00	3.715494e-02	3.765870e+00
30.0398       	1.953640e-06	3.803021e+00	3.714798e-02	3.765873e+00
30.0412       	1.953640e-06	3.803018e+00	3.714103e-02	3.765877e+00
30.0427       	1.953640e-06	3.803015e+00	3.713410e-02	3.765880e+00
30.0442       	1.953640e-06	3.803011e+00	3.712716e-02	3.765884e+00
30.0457       	1.953640e-06	3.803009e+00	3.712024e-02	3.765888e+00
30.0471       	1.953640e-06	3.803006e+00	3.711333e-02	3.765893e+00
30.0486       	1.953640e-06	3.803004e+00	3.710643e-02	3.765897e+00
30.0501       	1.953640e-06	3.803001e+00	3.709954e-02	3.765902e+00
30.0516       	1.953640e-06	3.803000e+00	3.709266e-02	3.765907e+00
30.053        	1.953640e-06	3.802998e+00	3.708578e-02	3.765912e+00
30.0545       	1.953640e-06	3.802996e+00	3.707892e-02	3.765918e+00
30.056        	1.953640e-06	3.802995e+00	3.707206e-02	3.765923e+00
30.0574       	1.953640e-06	3.802994e+00	3.706522e-02	3.765929e+00
30.0589       	1.953640e-06	3.802994e+00	3.705838e-02	3.765935e+00
30.0604       	1.953640e-06	3.802993e+00	3.705156e-02	3.765942e+00
30.0619       	1.953640e-06	3.802993e+00	3.704474e-02	3.765948e+00
30.0633       	1.953640e-06	3.802993e+00	3.703794e-02	3.765955e+00
30.0648       	1.953640e-06	3.802993e+00	3.703114e-02	3.765962e+00
30.0663       	1.953640e-06	3.802994e+00	3.702435e-02	3.765970e+00
30.0678       	1.953640e-06	3.802995e+00	3.701758e-02	3.765977e+00
30.0692       	1.953640e-06	3.802996e+00	3.701081e-02	3.765985e+00
30.0707       	1.953640e-06	3.802997e+00	3.700405e-02	3.765993e+00
30.0722       	1.953640e-06	3.802998e+00	3.699730e-02	3.766001e+00
30.0737       	1.953640e-06	3.803000e+00	3.699057e-02	3.766010e+00
30.0751       	1.953640e-06	3.803002e+00	3.698384e-02	3.766018e+00
30.0766       	1.953640e-06	3.803004e+00	3.697712e-02	3.766027e+00
30.0781       	1.953640e-06	3.803007e+00	3.697042e-02	3.766036e+00
30.0796       	1.953640e-06	3.803010e+00	3.696372e-02	3.766046e+00
30.081        	1.953640e-06	3.803013e+00	3.695703e-02	3.766055e+00
30.0825       	1.953640e-06	3.803016e+00	3.695036e-02	3.766065e+00
30.084        	1.953640e-06	3.803019e+00	3.694369e-02	3.766075e+00
30.0854       	1.953640e-06	3.803023e+00	3.693704e-02	3.766086e+00
30.0869       	1.953640e-06	3.803027e+00	3.693039e-02	3.766096e+00
30.0884       	1.953640e-06	3.803031e+00	3.692376e-02	3.766107e+00
30.0899       	1.953640e-06	3.803035e+00	3.691714e-02	3.766118e+00
30.0913       	1.953640e-06	3.803040e+00	3.691052e-02	3.766129e+00
30.0928       	1.953640e-06	3.803045e+00	3.690392e-02	3.766141e+00
30.0943       	1.953640e-06	3.803050e+00	3.689733e-02	3.766152e+00
30.0958       	1.953640e-06	3.803055e+00	3.689075e-02	3.766164e+00
30.0972       	1.953640e-06	3.803061e+00	3.688418e-02	3.766176e+00
30.0987       	1.953640e-06	3.803066e+00	3.687762e-02	3.766189e+00
30.1002       	1.953640e-06	3.803072e+00	3.687107e-02	3.766201e+00
30.1017       	1.953640e-06	3.803079e+00	3.686454e-02	3.766214e+00
30.1031       	1.953640e-06	3.803085e+00	3.685801e-02	3.766227e+00
30.1046       	1.953640e-06	3.803092e+00	3.685150e-02	3.766240e+00
30.1061       	1.953640e-06	3.803099e+00	3.684499e-02	3.766254e+00
