# Region type : surface top
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	3.591011e+00	-2.254702e-01	3.816481e+00
30.0015       	1.953640e-06	3.590991e+00	-2.254716e-01	3.816462e+00
30.0029       	1.953640e-06	3.590970e+00	-2.254731e-01	3.816443e+00
30.0044       	1.953640e-06	3.590950e+00	-2.254746e-01	3.816424e+00
30.0059       	1.953640e-06	3.590930e+00	-2.254760e-01	3.816406e+00
30.0074       	1.953640e-06	3.590910e+00	-2.254775e-01	3.816387e+00
30.0088       	1.953640e-06	3.590890e+00	-2.254790e-01	3.816369e+00
30.0103       	1.953640e-06	3.590870e+00	-2.254805e-01	3.816351e+00
30.0118       	1.953640e-06	3.590850e+00	-2.254821e-01	3.816332e+00
30.0133       	1.953640e-06	3.590831e+00	-2.254836e-01	3.816314e+00
30.0147       	1.953640e-06	3.590811e+00	-2.254851e-01	3.816296e+00
30.0162       	1.953640e-06	3.590792e+00	-2.254867e-01	3.816279e+00
30.0177       	1.953640e-06	3.590773e+00	-2.254883e-01	3.816261e+00
30.0191       	1.953640e-06	3.590754e+00	-2.254898e-01	3.816243e+00
30.0206       	1.953640e-06	3.590735e+00	-2.254914e-01	3.816226e+00
30.0221       	1.953640e-06	3.590716e+00	-2.254930e-01	3.816209e+00
30.0236       	1.953640e-06	3.590697e+00	-2.254946e-01	3.816191e+00
30.025        	1.953640e-06	3.590678e+00	-2.254963e-01	3.816174e+00
30.0265       	1.953640e-06	3.590660e+00	-2.254979e-01	3.816157e+00
30.028        	1.953640e-06	3.590641e+00	-2.254995e-01	3.816141e+00
30.0295       	1.953640e-06	3.590623e+00	-2.255012e-01	3.816124e+00
30.0309       	1.953640e-06	3.590604e+00	-2.255029e-01	3.816107e+00
30.0324       	1.953640e-06	3.590586e+00	-2.255046e-01	3.816091e+00
30.0339       	1.953640e-06	3.590568e+00	-2.255062e-01	3.816075e+00
30.0353       	1.953640e-06	3.590550e+00	-2.255079e-01	3.816058e+00
30.0368       	1.953640e-06	3.590533e+00	-2.255096e-01	3.816042e+00
30.0383       	1.953640e-06	3.590515e+00	-2.255114e-01	3.816026e+00
30.0398       	1.953640e-06	3.590497e+00	-2.255131e-01	3.816010e+00
30.0412       	1.953640e-06	3.590480e+00	-2.255148e-01	3.815995e+00
30.0427       	1.953640e-06	3.590462e+00	-2.255166e-01	3.815979e+00
30.0442       	1.953640e-06	3.590445e+00	-2.255184e-01	3.815964e+00
30.0457       	1.953640e-06	3.590428e+00	-2.255201e-01	3.815948e+00
30.0471       	1.953640e-06	3.590411e+00	-2.255219e-01	3.815933e+00
30.0486       	1.953640e-06	3.590394e+00	-2.255237e-01	3.815918e+00
30.0501       	1.953640e-06	3.590377e+00	-2.255255e-01	3.815903e+00
30.0516       	1.953640e-06	3.590361e+00	-2.255273e-01	3.815888e+00
30.053        	1.953640e-06	3.590344e+00	-2.255292e-01	3.815873e+00
30.0545       	1.953640e-06	3.590328e+00	-2.255310e-01	3.815859e+00
30.056        	1.953640e-06	3.590311e+00	-2.255329e-01	3.815844e+00
30.0574       	1.953640e-06	3.590295e+00	-2.255347e-01	3.815830e+00
30.0589       	1.953640e-06	3.590279e+00	-2.255366e-01	3.815816e+00
30.0604       	1.953640e-06	3.590263e+00	-2.255385e-01	3.815802e+00
30.0619       	1.953640e-06	3.590247e+00	-2.255404e-01	3.815788e+00
30.0633       	1.953640e-06	3.590231e+00	-2.255423e-01	3.815774e+00
30.0648       	1.953640e-06	3.590216e+00	-2.255442e-01	3.815760e+00
30.0663       	1.953640e-06	3.590200e+00	-2.255461e-01	3.815746e+00
30.0678       	1.953640e-06	3.590185e+00	-2.255480e-01	3.815733e+00
30.0692       	1.953640e-06	3.590169e+00	-2.255500e-01	3.815719e+00
30.0707       	1.953640e-06	3.590154e+00	-2.255519e-01	3.815706e+00
30.0722       	1.953640e-06	3.590139e+00	-2.255539e-01	3.815693e+00
30.0737       	1.953640e-06	3.590124e+00	-2.255559e-01	3.815680e+00
30.0751       	1.953640e-06	3.590109e+00	-2.255578e-01	3.815667e+00
30.0766       	1.953640e-06	3.590094e+00	-2.255598e-01	3.815654e+00
30.0781       	1.953640e-06	3.590080e+00	-2.255618e-01	3.815642e+00
30.0796       	1.953640e-06	3.590065e+00	-2.255639e-01	3.815629e+00
30.081        	1.953640e-06	3.590051e+00	-2.255659e-01	3.815617e+00
30.0825       	1.953640e-06	3.590037e+00	-2.255679e-01	3.815604e+00
30.084        	1.953640e-06	3.590022e+00	-2.255700e-01	3.815592e+00
30.0854       	1.953640e-06	3.590008e+00	-2.255720e-01	3.815580e+00
30.0869       	1.953640e-06	3.589994e+00	-2.255741e-01	3.815568e+00
30.0884       	1.953640e-06	3.589980e+00	-2.255762e-01	3.815557e+00
30.0899       	1.953640e-06	3.589967e+00	-2.255782e-01	3.815545e+00
30.0913       	1.953640e-06	3.589953e+00	-2.255803e-01	3.815533e+00
30.0928       	1.953640e-06	3.589940e+00	-2.255824e-01	3.815522e+00
30.0943       	1.953640e-06	3.589926e+00	-2.255846e-01	3.815511e+00
30.0958       	1.953640e-06	3.589913e+00	-2.255867e-01	3.815500e+00
30.0972       	1.953640e-06	3.589900e+00	-2.255888e-01	3.815489e+00
30.0987       	1.953640e-06	3.589887e+00	-2.255910e-01	3.815478e+00
