# Region type : surface veryBottom
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	1.826826e+00	-2.093576e+00	3.920403e+00
30.0015       	1.953640e-06	1.826816e+00	-2.093569e+00	3.920386e+00
30.0029       	1.953640e-06	1.826807e+00	-2.093562e+00	3.920369e+00
30.0044       	1.953640e-06	1.826797e+00	-2.093555e+00	3.920352e+00
30.0059       	1.953640e-06	1.826787e+00	-2.093548e+00	3.920335e+00
30.0074       	1.953640e-06	1.826777e+00	-2.093541e+00	3.920318e+00
30.0088       	1.953640e-06	1.826767e+00	-2.093534e+00	3.920301e+00
30.0103       	1.953640e-06	1.826757e+00	-2.093527e+00	3.920284e+00
30.0118       	1.953640e-06	1.826747e+00	-2.093520e+00	3.920267e+00
30.0133       	1.953640e-06	1.826738e+00	-2.093513e+00	3.920250e+00
30.0147       	1.953640e-06	1.826728e+00	-2.093506e+00	3.920233e+00
30.0162       	1.953640e-06	1.826718e+00	-2.093498e+00	3.920216e+00
30.0177       	1.953640e-06	1.826708e+00	-2.093491e+00	3.920200e+00
30.0191       	1.953640e-06	1.826699e+00	-2.093484e+00	3.920183e+00
30.0206       	1.953640e-06	1.826689e+00	-2.093477e+00	3.920166e+00
30.0221       	1.953640e-06	1.826679e+00	-2.093470e+00	3.920150e+00
30.0236       	1.953640e-06	1.826670e+00	-2.093463e+00	3.920133e+00
30.025        	1.953640e-06	1.826660e+00	-2.093456e+00	3.920116e+00
30.0265       	1.953640e-06	1.826651e+00	-2.093449e+00	3.920100e+00
30.028        	1.953640e-06	1.826641e+00	-2.093442e+00	3.920083e+00
30.0295       	1.953640e-06	1.826632e+00	-2.093435e+00	3.920067e+00
30.0309       	1.953640e-06	1.826622e+00	-2.093428e+00	3.920050e+00
30.0324       	1.953640e-06	1.826613e+00	-2.093421e+00	3.920034e+00
30.0339       	1.953640e-06	1.826603e+00	-2.093414e+00	3.920017e+00
30.0353       	1.953640e-06	1.826594e+00	-2.093407e+00	3.920001e+00
30.0368       	1.953640e-06	1.826585e+00	-2.093400e+00	3.919985e+00
30.0383       	1.953640e-06	1.826575e+00	-2.093393e+00	3.919968e+00
30.0398       	1.953640e-06	1.826566e+00	-2.093386e+00	3.919952e+00
30.0412       	1.953640e-06	1.826557e+00	-2.093379e+00	3.919936e+00
30.0427       	1.953640e-06	1.826547e+00	-2.093372e+00	3.919920e+00
30.0442       	1.953640e-06	1.826538e+00	-2.093365e+00	3.919903e+00
30.0457       	1.953640e-06	1.826529e+00	-2.093358e+00	3.919887e+00
30.0471       	1.953640e-06	1.826520e+00	-2.093351e+00	3.919871e+00
30.0486       	1.953640e-06	1.826511e+00	-2.093344e+00	3.919855e+00
30.0501       	1.953640e-06	1.826502e+00	-2.093337e+00	3.919839e+00
30.0516       	1.953640e-06	1.826493e+00	-2.093331e+00	3.919823e+00
30.053        	1.953640e-06	1.826484e+00	-2.093324e+00	3.919807e+00
30.0545       	1.953640e-06	1.826475e+00	-2.093317e+00	3.919791e+00
30.056        	1.953640e-06	1.826466e+00	-2.093310e+00	3.919775e+00
30.0574       	1.953640e-06	1.826457e+00	-2.093303e+00	3.919760e+00
30.0589       	1.953640e-06	1.826448e+00	-2.093296e+00	3.919744e+00
30.0604       	1.953640e-06	1.826439e+00	-2.093289e+00	3.919728e+00
30.0619       	1.953640e-06	1.826430e+00	-2.093282e+00	3.919712e+00
30.0633       	1.953640e-06	1.826421e+00	-2.093275e+00	3.919696e+00
30.0648       	1.953640e-06	1.826412e+00	-2.093268e+00	3.919681e+00
30.0663       	1.953640e-06	1.826404e+00	-2.093262e+00	3.919665e+00
30.0678       	1.953640e-06	1.826395e+00	-2.093255e+00	3.919650e+00
30.0692       	1.953640e-06	1.826386e+00	-2.093248e+00	3.919634e+00
30.0707       	1.953640e-06	1.826377e+00	-2.093241e+00	3.919618e+00
30.0722       	1.953640e-06	1.826369e+00	-2.093234e+00	3.919603e+00
30.0737       	1.953640e-06	1.826360e+00	-2.093227e+00	3.919587e+00
30.0751       	1.953640e-06	1.826352e+00	-2.093220e+00	3.919572e+00
30.0766       	1.953640e-06	1.826343e+00	-2.093214e+00	3.919557e+00
30.0781       	1.953640e-06	1.826334e+00	-2.093207e+00	3.919541e+00
30.0796       	1.953640e-06	1.826326e+00	-2.093200e+00	3.919526e+00
30.081        	1.953640e-06	1.826317e+00	-2.093193e+00	3.919511e+00
30.0825       	1.953640e-06	1.826309e+00	-2.093186e+00	3.919495e+00
30.084        	1.953640e-06	1.826301e+00	-2.093180e+00	3.919480e+00
30.0854       	1.953640e-06	1.826292e+00	-2.093173e+00	3.919465e+00
30.0869       	1.953640e-06	1.826284e+00	-2.093166e+00	3.919450e+00
30.0884       	1.953640e-06	1.826276e+00	-2.093159e+00	3.919435e+00
30.0899       	1.953640e-06	1.826267e+00	-2.093153e+00	3.919420e+00
30.0913       	1.953640e-06	1.826259e+00	-2.093146e+00	3.919405e+00
30.0928       	1.953640e-06	1.826251e+00	-2.093139e+00	3.919390e+00
30.0943       	1.953640e-06	1.826243e+00	-2.093132e+00	3.919375e+00
30.0958       	1.953640e-06	1.826234e+00	-2.093126e+00	3.919360e+00
30.0972       	1.953640e-06	1.826226e+00	-2.093119e+00	3.919345e+00
30.0987       	1.953640e-06	1.826218e+00	-2.093112e+00	3.919330e+00
30.1002       	1.953640e-06	1.826210e+00	-2.093105e+00	3.919316e+00
30.1017       	1.953640e-06	1.826202e+00	-2.093099e+00	3.919301e+00
30.1031       	1.953640e-06	1.826194e+00	-2.093092e+00	3.919286e+00
30.1046       	1.953640e-06	1.826186e+00	-2.093085e+00	3.919271e+00
30.1061       	1.953640e-06	1.826178e+00	-2.093079e+00	3.919257e+00
30.1075       	1.953640e-06	1.826170e+00	-2.093072e+00	3.919242e+00
30.109        	1.953640e-06	1.826162e+00	-2.093065e+00	3.919228e+00
30.1105       	1.953640e-06	1.826154e+00	-2.093059e+00	3.919213e+00
30.112        	1.953640e-06	1.826147e+00	-2.093052e+00	3.919199e+00
30.1134       	1.953640e-06	1.826139e+00	-2.093045e+00	3.919184e+00
30.1149       	1.953640e-06	1.826131e+00	-2.093039e+00	3.919170e+00
30.1164       	1.953640e-06	1.826123e+00	-2.093032e+00	3.919155e+00
30.1179       	1.953640e-06	1.826115e+00	-2.093026e+00	3.919141e+00
30.1193       	1.953640e-06	1.826108e+00	-2.093019e+00	3.919127e+00
30.1208       	1.953640e-06	1.826100e+00	-2.093012e+00	3.919113e+00
30.1223       	1.953640e-06	1.826093e+00	-2.093006e+00	3.919098e+00
30.1238       	1.953640e-06	1.826085e+00	-2.092999e+00	3.919084e+00
30.1252       	1.953640e-06	1.826077e+00	-2.092993e+00	3.919070e+00
30.1267       	1.953640e-06	1.826070e+00	-2.092986e+00	3.919056e+00
30.1282       	1.953640e-06	1.826062e+00	-2.092980e+00	3.919042e+00
30.1297       	1.953640e-06	1.826055e+00	-2.092973e+00	3.919028e+00
30.1311       	1.953640e-06	1.826047e+00	-2.092966e+00	3.919014e+00
30.1326       	1.953640e-06	1.826040e+00	-2.092960e+00	3.919000e+00
30.1341       	1.953640e-06	1.826033e+00	-2.092953e+00	3.918986e+00
30.1356       	1.953640e-06	1.826025e+00	-2.092947e+00	3.918972e+00
30.137        	1.953640e-06	1.826018e+00	-2.092940e+00	3.918959e+00
30.1385       	1.953640e-06	1.826011e+00	-2.092934e+00	3.918945e+00
30.14         	1.953640e-06	1.826004e+00	-2.092927e+00	3.918931e+00
30.1415       	1.953640e-06	1.825996e+00	-2.092921e+00	3.918917e+00
30.1429       	1.953640e-06	1.825989e+00	-2.092914e+00	3.918904e+00
30.1444       	1.953640e-06	1.825982e+00	-2.092908e+00	3.918890e+00
30.1459       	1.953640e-06	1.825975e+00	-2.092902e+00	3.918876e+00
30.1473       	1.953640e-06	1.825968e+00	-2.092895e+00	3.918863e+00
30.1488       	1.953640e-06	1.825961e+00	-2.092889e+00	3.918849e+00
30.1503       	1.953640e-06	1.825954e+00	-2.092882e+00	3.918836e+00
30.1518       	1.953640e-06	1.825947e+00	-2.092876e+00	3.918823e+00
30.1532       	1.953640e-06	1.825940e+00	-2.092869e+00	3.918809e+00
30.1547       	1.953640e-06	1.825933e+00	-2.092863e+00	3.918796e+00
30.1562       	1.953640e-06	1.825926e+00	-2.092857e+00	3.918783e+00
30.1577       	1.953640e-06	1.825919e+00	-2.092850e+00	3.918769e+00
30.1591       	1.953640e-06	1.825912e+00	-2.092844e+00	3.918756e+00
30.1606       	1.953640e-06	1.825905e+00	-2.092838e+00	3.918743e+00
30.1621       	1.953640e-06	1.825899e+00	-2.092831e+00	3.918730e+00
30.1636       	1.953640e-06	1.825892e+00	-2.092825e+00	3.918717e+00
30.165        	1.953640e-06	1.825885e+00	-2.092819e+00	3.918704e+00
30.1665       	1.953640e-06	1.825879e+00	-2.092812e+00	3.918691e+00
30.168        	1.953640e-06	1.825872e+00	-2.092806e+00	3.918678e+00
30.1695       	1.953640e-06	1.825865e+00	-2.092800e+00	3.918665e+00
30.1709       	1.953640e-06	1.825859e+00	-2.092793e+00	3.918652e+00
30.1724       	1.953640e-06	1.825852e+00	-2.092787e+00	3.918639e+00
30.1739       	1.953640e-06	1.825846e+00	-2.092781e+00	3.918626e+00
30.1754       	1.953640e-06	1.825839e+00	-2.092774e+00	3.918614e+00
30.1768       	1.953640e-06	1.825833e+00	-2.092768e+00	3.918601e+00
30.1783       	1.953640e-06	1.825826e+00	-2.092762e+00	3.918588e+00
30.1798       	1.953640e-06	1.825820e+00	-2.092756e+00	3.918576e+00
30.1813       	1.953640e-06	1.825814e+00	-2.092750e+00	3.918563e+00
30.1827       	1.953640e-06	1.825807e+00	-2.092743e+00	3.918551e+00
30.1842       	1.953640e-06	1.825801e+00	-2.092737e+00	3.918538e+00
30.1857       	1.953640e-06	1.825795e+00	-2.092731e+00	3.918526e+00
30.1872       	1.953640e-06	1.825789e+00	-2.092725e+00	3.918513e+00
30.1886       	1.953640e-06	1.825782e+00	-2.092719e+00	3.918501e+00
30.1901       	1.953640e-06	1.825776e+00	-2.092712e+00	3.918489e+00
30.1916       	1.953640e-06	1.825770e+00	-2.092706e+00	3.918476e+00
30.1931       	1.953640e-06	1.825764e+00	-2.092700e+00	3.918464e+00
30.1945       	1.953640e-06	1.825758e+00	-2.092694e+00	3.918452e+00
30.196        	1.953640e-06	1.825752e+00	-2.092688e+00	3.918440e+00
30.1975       	1.953640e-06	1.825746e+00	-2.092682e+00	3.918428e+00
30.199        	1.953640e-06	1.825740e+00	-2.092676e+00	3.918415e+00
30.2004       	1.953640e-06	1.825734e+00	-2.092669e+00	3.918403e+00
30.2019       	1.953640e-06	1.825728e+00	-2.092663e+00	3.918391e+00
30.2034       	1.953640e-06	1.825722e+00	-2.092657e+00	3.918379e+00
30.2049       	1.953640e-06	1.825716e+00	-2.092651e+00	3.918368e+00
30.2063       	1.953640e-06	1.825711e+00	-2.092645e+00	3.918356e+00
30.2078       	1.953640e-06	1.825705e+00	-2.092639e+00	3.918344e+00
30.2093       	1.953640e-06	1.825699e+00	-2.092633e+00	3.918332e+00
30.2108       	1.953640e-06	1.825693e+00	-2.092627e+00	3.918320e+00
30.2122       	1.953640e-06	1.825688e+00	-2.092621e+00	3.918309e+00
