# Region type : surface veryTop
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	1.864468e+00	-2.057909e+00	3.922378e+00
30.0015       	1.953640e-06	1.864458e+00	-2.057901e+00	3.922360e+00
30.0029       	1.953640e-06	1.864448e+00	-2.057894e+00	3.922342e+00
30.0044       	1.953640e-06	1.864438e+00	-2.057886e+00	3.922324e+00
30.0059       	1.953640e-06	1.864428e+00	-2.057878e+00	3.922307e+00
30.0074       	1.953640e-06	1.864418e+00	-2.057871e+00	3.922289e+00
30.0088       	1.953640e-06	1.864408e+00	-2.057863e+00	3.922271e+00
30.0103       	1.953640e-06	1.864399e+00	-2.057855e+00	3.922254e+00
30.0118       	1.953640e-06	1.864389e+00	-2.057848e+00	3.922236e+00
30.0133       	1.953640e-06	1.864379e+00	-2.057840e+00	3.922219e+00
30.0147       	1.953640e-06	1.864369e+00	-2.057832e+00	3.922201e+00
30.0162       	1.953640e-06	1.864359e+00	-2.057825e+00	3.922184e+00
30.0177       	1.953640e-06	1.864349e+00	-2.057817e+00	3.922166e+00
30.0191       	1.953640e-06	1.864340e+00	-2.057809e+00	3.922149e+00
30.0206       	1.953640e-06	1.864330e+00	-2.057802e+00	3.922132e+00
30.0221       	1.953640e-06	1.864320e+00	-2.057794e+00	3.922114e+00
30.0236       	1.953640e-06	1.864310e+00	-2.057787e+00	3.922097e+00
30.025        	1.953640e-06	1.864301e+00	-2.057779e+00	3.922080e+00
30.0265       	1.953640e-06	1.864291e+00	-2.057771e+00	3.922063e+00
30.028        	1.953640e-06	1.864282e+00	-2.057764e+00	3.922045e+00
30.0295       	1.953640e-06	1.864272e+00	-2.057756e+00	3.922028e+00
30.0309       	1.953640e-06	1.864263e+00	-2.057749e+00	3.922011e+00
30.0324       	1.953640e-06	1.864253e+00	-2.057741e+00	3.921994e+00
30.0339       	1.953640e-06	1.864244e+00	-2.057734e+00	3.921977e+00
30.0353       	1.953640e-06	1.864234e+00	-2.057726e+00	3.921960e+00
30.0368       	1.953640e-06	1.864225e+00	-2.057718e+00	3.921943e+00
30.0383       	1.953640e-06	1.864215e+00	-2.057711e+00	3.921926e+00
30.0398       	1.953640e-06	1.864206e+00	-2.057703e+00	3.921909e+00
30.0412       	1.953640e-06	1.864197e+00	-2.057696e+00	3.921892e+00
30.0427       	1.953640e-06	1.864187e+00	-2.057688e+00	3.921876e+00
30.0442       	1.953640e-06	1.864178e+00	-2.057681e+00	3.921859e+00
30.0457       	1.953640e-06	1.864169e+00	-2.057673e+00	3.921842e+00
30.0471       	1.953640e-06	1.864160e+00	-2.057666e+00	3.921825e+00
30.0486       	1.953640e-06	1.864150e+00	-2.057658e+00	3.921809e+00
30.0501       	1.953640e-06	1.864141e+00	-2.057651e+00	3.921792e+00
30.0516       	1.953640e-06	1.864132e+00	-2.057643e+00	3.921775e+00
30.053        	1.953640e-06	1.864123e+00	-2.057636e+00	3.921759e+00
30.0545       	1.953640e-06	1.864114e+00	-2.057628e+00	3.921742e+00
30.056        	1.953640e-06	1.864105e+00	-2.057621e+00	3.921726e+00
30.0574       	1.953640e-06	1.864096e+00	-2.057613e+00	3.921709e+00
30.0589       	1.953640e-06	1.864087e+00	-2.057606e+00	3.921693e+00
30.0604       	1.953640e-06	1.864078e+00	-2.057599e+00	3.921676e+00
30.0619       	1.953640e-06	1.864069e+00	-2.057591e+00	3.921660e+00
30.0633       	1.953640e-06	1.864060e+00	-2.057584e+00	3.921644e+00
