# Region type : surface middle
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	2.497968e+00	-1.946881e-02	2.517437e+00
30.0033       	1.953640e-06	2.497969e+00	-1.946844e-02	2.517438e+00
30.0066       	1.953640e-06	2.497970e+00	-1.946807e-02	2.517438e+00
30.0099       	1.953640e-06	2.497971e+00	-1.946770e-02	2.517439e+00
30.0133       	1.953640e-06	2.497973e+00	-1.946733e-02	2.517440e+00
30.0166       	1.953640e-06	2.497974e+00	-1.946696e-02	2.517441e+00
30.0199       	1.953640e-06	2.497975e+00	-1.946659e-02	2.517441e+00
30.0232       	1.953640e-06	2.497976e+00	-1.946622e-02	2.517442e+00
30.0265       	1.953640e-06	2.497977e+00	-1.946585e-02	2.517443e+00
30.0298       	1.953640e-06	2.497978e+00	-1.946548e-02	2.517443e+00
30.0332       	1.953640e-06	2.497979e+00	-1.946511e-02	2.517444e+00
30.0365       	1.953640e-06	2.497980e+00	-1.946474e-02	2.517445e+00
30.0398       	1.953640e-06	2.497981e+00	-1.946437e-02	2.517445e+00
30.0431       	1.953640e-06	2.497982e+00	-1.946401e-02	2.517446e+00
30.0464       	1.953640e-06	2.497983e+00	-1.946364e-02	2.517447e+00
30.0497       	1.953640e-06	2.497984e+00	-1.946327e-02	2.517447e+00
30.0531       	1.953640e-06	2.497985e+00	-1.946290e-02	2.517448e+00
30.0564       	1.953640e-06	2.497986e+00	-1.946253e-02	2.517449e+00
30.0597       	1.953640e-06	2.497987e+00	-1.946216e-02	2.517449e+00
30.063        	1.953640e-06	2.497988e+00	-1.946179e-02	2.517450e+00
30.0663       	1.953640e-06	2.497989e+00	-1.946143e-02	2.517450e+00
30.0696       	1.953640e-06	2.497990e+00	-1.946106e-02	2.517451e+00
30.0729       	1.953640e-06	2.497991e+00	-1.946069e-02	2.517452e+00
30.0763       	1.953640e-06	2.497992e+00	-1.946032e-02	2.517452e+00
30.0796       	1.953640e-06	2.497993e+00	-1.945996e-02	2.517453e+00
30.0829       	1.953640e-06	2.497994e+00	-1.945959e-02	2.517453e+00
30.0862       	1.953640e-06	2.497995e+00	-1.945922e-02	2.517454e+00
30.0895       	1.953640e-06	2.497996e+00	-1.945885e-02	2.517454e+00
30.0928       	1.953640e-06	2.497997e+00	-1.945849e-02	2.517455e+00
30.0962       	1.953640e-06	2.497997e+00	-1.945812e-02	2.517456e+00
30.0995       	1.953640e-06	2.497998e+00	-1.945775e-02	2.517456e+00
30.1028       	1.953640e-06	2.497999e+00	-1.945739e-02	2.517457e+00
30.1061       	1.953640e-06	2.498000e+00	-1.945702e-02	2.517457e+00
30.1094       	1.953640e-06	2.498001e+00	-1.945665e-02	2.517458e+00
30.1127       	1.953640e-06	2.498002e+00	-1.945629e-02	2.517458e+00
30.116        	1.953640e-06	2.498003e+00	-1.945592e-02	2.517459e+00
30.1194       	1.953640e-06	2.498004e+00	-1.945556e-02	2.517459e+00
30.1227       	1.953640e-06	2.498005e+00	-1.945519e-02	2.517460e+00
30.126        	1.953640e-06	2.498005e+00	-1.945483e-02	2.517460e+00
30.1293       	1.953640e-06	2.498006e+00	-1.945446e-02	2.517461e+00
30.1326       	1.953640e-06	2.498007e+00	-1.945410e-02	2.517461e+00
30.1359       	1.953640e-06	2.498008e+00	-1.945373e-02	2.517462e+00
30.1393       	1.953640e-06	2.498009e+00	-1.945337e-02	2.517462e+00
30.1426       	1.953640e-06	2.498010e+00	-1.945300e-02	2.517463e+00
30.1459       	1.953640e-06	2.498011e+00	-1.945264e-02	2.517463e+00
30.1492       	1.953640e-06	2.498011e+00	-1.945228e-02	2.517464e+00
30.1525       	1.953640e-06	2.498012e+00	-1.945191e-02	2.517464e+00
30.1558       	1.953640e-06	2.498013e+00	-1.945155e-02	2.517464e+00
30.1592       	1.953640e-06	2.498014e+00	-1.945119e-02	2.517465e+00
