# Region type : surface middle
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	2.815985e+00	-1.946881e-02	2.835454e+00
30.0033       	1.953640e-06	2.815986e+00	-1.946844e-02	2.835455e+00
30.0066       	1.953640e-06	2.815987e+00	-1.946807e-02	2.835455e+00
30.0099       	1.953640e-06	2.815989e+00	-1.946770e-02	2.835456e+00
30.0133       	1.953640e-06	2.815990e+00	-1.946733e-02	2.835457e+00
30.0166       	1.953640e-06	2.815991e+00	-1.946696e-02	2.835458e+00
30.0199       	1.953640e-06	2.815992e+00	-1.946659e-02	2.835459e+00
30.0232       	1.953640e-06	2.815993e+00	-1.946622e-02	2.835460e+00
30.0265       	1.953640e-06	2.815995e+00	-1.946585e-02	2.835460e+00
30.0298       	1.953640e-06	2.815996e+00	-1.946548e-02	2.835461e+00
30.0332       	1.953640e-06	2.815997e+00	-1.946511e-02	2.835462e+00
30.0365       	1.953640e-06	2.815998e+00	-1.946474e-02	2.835463e+00
30.0398       	1.953640e-06	2.815999e+00	-1.946437e-02	2.835464e+00
30.0431       	1.953640e-06	2.816000e+00	-1.946401e-02	2.835464e+00
30.0464       	1.953640e-06	2.816002e+00	-1.946364e-02	2.835465e+00
30.0497       	1.953640e-06	2.816003e+00	-1.946327e-02	2.835466e+00
30.0531       	1.953640e-06	2.816004e+00	-1.946290e-02	2.835467e+00
30.0564       	1.953640e-06	2.816005e+00	-1.946253e-02	2.835468e+00
30.0597       	1.953640e-06	2.816006e+00	-1.946216e-02	2.835468e+00
30.063        	1.953640e-06	2.816007e+00	-1.946179e-02	2.835469e+00
30.0663       	1.953640e-06	2.816008e+00	-1.946143e-02	2.835470e+00
30.0696       	1.953640e-06	2.816009e+00	-1.946106e-02	2.835470e+00
30.0729       	1.953640e-06	2.816010e+00	-1.946069e-02	2.835471e+00
30.0763       	1.953640e-06	2.816012e+00	-1.946032e-02	2.835472e+00
30.0796       	1.953640e-06	2.816013e+00	-1.945996e-02	2.835473e+00
30.0829       	1.953640e-06	2.816014e+00	-1.945959e-02	2.835473e+00
30.0862       	1.953640e-06	2.816015e+00	-1.945922e-02	2.835474e+00
30.0895       	1.953640e-06	2.816016e+00	-1.945885e-02	2.835475e+00
30.0928       	1.953640e-06	2.816017e+00	-1.945849e-02	2.835475e+00
30.0962       	1.953640e-06	2.816018e+00	-1.945812e-02	2.835476e+00
30.0995       	1.953640e-06	2.816019e+00	-1.945775e-02	2.835477e+00
30.1028       	1.953640e-06	2.816020e+00	-1.945739e-02	2.835477e+00
30.1061       	1.953640e-06	2.816021e+00	-1.945702e-02	2.835478e+00
30.1094       	1.953640e-06	2.816022e+00	-1.945665e-02	2.835479e+00
30.1127       	1.953640e-06	2.816023e+00	-1.945629e-02	2.835479e+00
30.116        	1.953640e-06	2.816024e+00	-1.945592e-02	2.835480e+00
30.1194       	1.953640e-06	2.816025e+00	-1.945556e-02	2.835481e+00
30.1227       	1.953640e-06	2.816026e+00	-1.945519e-02	2.835481e+00
30.126        	1.953640e-06	2.816027e+00	-1.945483e-02	2.835482e+00
30.1293       	1.953640e-06	2.816028e+00	-1.945446e-02	2.835482e+00
30.1326       	1.953640e-06	2.816029e+00	-1.945410e-02	2.835483e+00
30.1359       	1.953640e-06	2.816030e+00	-1.945373e-02	2.835484e+00
30.1393       	1.953640e-06	2.816031e+00	-1.945337e-02	2.835484e+00
30.1426       	1.953640e-06	2.816032e+00	-1.945300e-02	2.835485e+00
30.1459       	1.953640e-06	2.816033e+00	-1.945264e-02	2.835485e+00
30.1492       	1.953640e-06	2.816034e+00	-1.945228e-02	2.835486e+00
30.1525       	1.953640e-06	2.816034e+00	-1.945191e-02	2.835486e+00
30.1558       	1.953640e-06	2.816035e+00	-1.945155e-02	2.835487e+00
30.1592       	1.953640e-06	2.816036e+00	-1.945119e-02	2.835487e+00
30.1625       	1.953640e-06	2.816037e+00	-1.945082e-02	2.835488e+00
30.1658       	1.953640e-06	2.816038e+00	-1.945046e-02	2.835488e+00
30.1691       	1.953640e-06	2.816039e+00	-1.945010e-02	2.835489e+00
30.1724       	1.953640e-06	2.816040e+00	-1.944974e-02	2.835490e+00
30.1757       	1.953640e-06	2.816041e+00	-1.944938e-02	2.835490e+00
30.179        	1.953640e-06	2.816041e+00	-1.944901e-02	2.835490e+00
30.1824       	1.953640e-06	2.816042e+00	-1.944865e-02	2.835491e+00
30.1857       	1.953640e-06	2.816043e+00	-1.944829e-02	2.835491e+00
30.189        	1.953640e-06	2.816044e+00	-1.944793e-02	2.835492e+00
30.1923       	1.953640e-06	2.816045e+00	-1.944757e-02	2.835492e+00
30.1956       	1.953640e-06	2.816046e+00	-1.944721e-02	2.835493e+00
30.1989       	1.953640e-06	2.816046e+00	-1.944685e-02	2.835493e+00
30.2023       	1.953640e-06	2.816047e+00	-1.944649e-02	2.835494e+00
30.2056       	1.953640e-06	2.816048e+00	-1.944613e-02	2.835494e+00
30.2089       	1.953640e-06	2.816049e+00	-1.944577e-02	2.835495e+00
30.2122       	1.953640e-06	2.816050e+00	-1.944541e-02	2.835495e+00
30.2155       	1.953640e-06	2.816050e+00	-1.944505e-02	2.835496e+00
30.2188       	1.953640e-06	2.816051e+00	-1.944469e-02	2.835496e+00
30.2221       	1.953640e-06	2.816052e+00	-1.944433e-02	2.835496e+00
30.2255       	1.953640e-06	2.816053e+00	-1.944398e-02	2.835497e+00
