# Region type : surface top
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	1.241801e+00	-1.333689e+00	2.575491e+00
30.0033       	1.953640e-06	1.241802e+00	-1.333690e+00	2.575492e+00
30.0066       	1.953640e-06	1.241803e+00	-1.333690e+00	2.575493e+00
30.0099       	1.953640e-06	1.241804e+00	-1.333690e+00	2.575495e+00
30.0133       	1.953640e-06	1.241805e+00	-1.333691e+00	2.575496e+00
30.0166       	1.953640e-06	1.241806e+00	-1.333691e+00	2.575497e+00
30.0199       	1.953640e-06	1.241807e+00	-1.333691e+00	2.575498e+00
30.0232       	1.953640e-06	1.241808e+00	-1.333691e+00	2.575500e+00
30.0265       	1.953640e-06	1.241809e+00	-1.333692e+00	2.575501e+00
30.0298       	1.953640e-06	1.241810e+00	-1.333692e+00	2.575502e+00
30.0332       	1.953640e-06	1.241811e+00	-1.333692e+00	2.575503e+00
30.0365       	1.953640e-06	1.241812e+00	-1.333693e+00	2.575505e+00
30.0398       	1.953640e-06	1.241813e+00	-1.333693e+00	2.575506e+00
30.0431       	1.953640e-06	1.241814e+00	-1.333693e+00	2.575507e+00
30.0464       	1.953640e-06	1.241815e+00	-1.333693e+00	2.575508e+00
30.0497       	1.953640e-06	1.241816e+00	-1.333694e+00	2.575510e+00
30.0531       	1.953640e-06	1.241817e+00	-1.333694e+00	2.575511e+00
30.0564       	1.953640e-06	1.241818e+00	-1.333694e+00	2.575512e+00
30.0597       	1.953640e-06	1.241819e+00	-1.333695e+00	2.575513e+00
30.063        	1.953640e-06	1.241820e+00	-1.333695e+00	2.575515e+00
30.0663       	1.953640e-06	1.241821e+00	-1.333695e+00	2.575516e+00
30.0696       	1.953640e-06	1.241822e+00	-1.333695e+00	2.575517e+00
30.0729       	1.953640e-06	1.241823e+00	-1.333696e+00	2.575518e+00
30.0763       	1.953640e-06	1.241824e+00	-1.333696e+00	2.575520e+00
30.0796       	1.953640e-06	1.241825e+00	-1.333696e+00	2.575521e+00
30.0829       	1.953640e-06	1.241826e+00	-1.333697e+00	2.575522e+00
30.0862       	1.953640e-06	1.241826e+00	-1.333697e+00	2.575523e+00
30.0895       	1.953640e-06	1.241827e+00	-1.333697e+00	2.575525e+00
30.0928       	1.953640e-06	1.241828e+00	-1.333697e+00	2.575526e+00
30.0962       	1.953640e-06	1.241829e+00	-1.333698e+00	2.575527e+00
30.0995       	1.953640e-06	1.241830e+00	-1.333698e+00	2.575528e+00
30.1028       	1.953640e-06	1.241831e+00	-1.333698e+00	2.575529e+00
30.1061       	1.953640e-06	1.241832e+00	-1.333699e+00	2.575531e+00
30.1094       	1.953640e-06	1.241833e+00	-1.333699e+00	2.575532e+00
30.1127       	1.953640e-06	1.241834e+00	-1.333699e+00	2.575533e+00
30.116        	1.953640e-06	1.241835e+00	-1.333699e+00	2.575534e+00
30.1194       	1.953640e-06	1.241836e+00	-1.333700e+00	2.575535e+00
