# Region type : surface veryBottom
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	1.146128e+00	-1.575151e+00	2.721279e+00
30.0033       	1.953640e-06	1.146129e+00	-1.575150e+00	2.721279e+00
30.0066       	1.953640e-06	1.146129e+00	-1.575150e+00	2.721279e+00
30.0099       	1.953640e-06	1.146130e+00	-1.575150e+00	2.721280e+00
30.0133       	1.953640e-06	1.146130e+00	-1.575149e+00	2.721280e+00
30.0166       	1.953640e-06	1.146131e+00	-1.575149e+00	2.721280e+00
30.0199       	1.953640e-06	1.146131e+00	-1.575149e+00	2.721280e+00
30.0232       	1.953640e-06	1.146132e+00	-1.575149e+00	2.721280e+00
30.0265       	1.953640e-06	1.146132e+00	-1.575148e+00	2.721281e+00
30.0298       	1.953640e-06	1.146133e+00	-1.575148e+00	2.721281e+00
30.0332       	1.953640e-06	1.146133e+00	-1.575148e+00	2.721281e+00
30.0365       	1.953640e-06	1.146134e+00	-1.575147e+00	2.721281e+00
30.0398       	1.953640e-06	1.146134e+00	-1.575147e+00	2.721281e+00
30.0431       	1.953640e-06	1.146135e+00	-1.575147e+00	2.721281e+00
30.0464       	1.953640e-06	1.146135e+00	-1.575146e+00	2.721282e+00
30.0497       	1.953640e-06	1.146136e+00	-1.575146e+00	2.721282e+00
30.0531       	1.953640e-06	1.146136e+00	-1.575146e+00	2.721282e+00
30.0564       	1.953640e-06	1.146137e+00	-1.575145e+00	2.721282e+00
30.0597       	1.953640e-06	1.146137e+00	-1.575145e+00	2.721282e+00
30.063        	1.953640e-06	1.146138e+00	-1.575145e+00	2.721282e+00
30.0663       	1.953640e-06	1.146138e+00	-1.575144e+00	2.721283e+00
30.0696       	1.953640e-06	1.146139e+00	-1.575144e+00	2.721283e+00
30.0729       	1.953640e-06	1.146139e+00	-1.575144e+00	2.721283e+00
30.0763       	1.953640e-06	1.146140e+00	-1.575144e+00	2.721283e+00
30.0796       	1.953640e-06	1.146140e+00	-1.575143e+00	2.721283e+00
30.0829       	1.953640e-06	1.146141e+00	-1.575143e+00	2.721283e+00
30.0862       	1.953640e-06	1.146141e+00	-1.575143e+00	2.721284e+00
30.0895       	1.953640e-06	1.146141e+00	-1.575142e+00	2.721284e+00
30.0928       	1.953640e-06	1.146142e+00	-1.575142e+00	2.721284e+00
30.0962       	1.953640e-06	1.146142e+00	-1.575142e+00	2.721284e+00
30.0995       	1.953640e-06	1.146143e+00	-1.575141e+00	2.721284e+00
30.1028       	1.953640e-06	1.146143e+00	-1.575141e+00	2.721284e+00
30.1061       	1.953640e-06	1.146144e+00	-1.575141e+00	2.721285e+00
30.1094       	1.953640e-06	1.146144e+00	-1.575140e+00	2.721285e+00
30.1127       	1.953640e-06	1.146145e+00	-1.575140e+00	2.721285e+00
30.116        	1.953640e-06	1.146145e+00	-1.575140e+00	2.721285e+00
30.1194       	1.953640e-06	1.146146e+00	-1.575139e+00	2.721285e+00
30.1227       	1.953640e-06	1.146146e+00	-1.575139e+00	2.721285e+00
30.126        	1.953640e-06	1.146147e+00	-1.575139e+00	2.721285e+00
30.1293       	1.953640e-06	1.146147e+00	-1.575139e+00	2.721286e+00
30.1326       	1.953640e-06	1.146147e+00	-1.575138e+00	2.721286e+00
30.1359       	1.953640e-06	1.146148e+00	-1.575138e+00	2.721286e+00
30.1393       	1.953640e-06	1.146148e+00	-1.575138e+00	2.721286e+00
30.1426       	1.953640e-06	1.146149e+00	-1.575137e+00	2.721286e+00
30.1459       	1.953640e-06	1.146149e+00	-1.575137e+00	2.721286e+00
30.1492       	1.953640e-06	1.146150e+00	-1.575137e+00	2.721286e+00
30.1525       	1.953640e-06	1.146150e+00	-1.575136e+00	2.721287e+00
30.1558       	1.953640e-06	1.146151e+00	-1.575136e+00	2.721287e+00
30.1592       	1.953640e-06	1.146151e+00	-1.575136e+00	2.721287e+00
30.1625       	1.953640e-06	1.146151e+00	-1.575135e+00	2.721287e+00
30.1658       	1.953640e-06	1.146152e+00	-1.575135e+00	2.721287e+00
30.1691       	1.953640e-06	1.146152e+00	-1.575135e+00	2.721287e+00
30.1724       	1.953640e-06	1.146153e+00	-1.575134e+00	2.721287e+00
30.1757       	1.953640e-06	1.146153e+00	-1.575134e+00	2.721287e+00
30.179        	1.953640e-06	1.146154e+00	-1.575134e+00	2.721288e+00
30.1824       	1.953640e-06	1.146154e+00	-1.575134e+00	2.721288e+00
