# Region type : surface veryTop
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	3.333965e-01	-2.276983e+00	2.610380e+00
30.0033       	1.953640e-06	3.333968e-01	-2.276984e+00	2.610381e+00
30.0066       	1.953640e-06	3.333971e-01	-2.276985e+00	2.610382e+00
30.0099       	1.953640e-06	3.333974e-01	-2.276986e+00	2.610383e+00
30.0133       	1.953640e-06	3.333977e-01	-2.276987e+00	2.610384e+00
30.0166       	1.953640e-06	3.333980e-01	-2.276988e+00	2.610386e+00
30.0199       	1.953640e-06	3.333983e-01	-2.276989e+00	2.610387e+00
30.0232       	1.953640e-06	3.333986e-01	-2.276989e+00	2.610388e+00
30.0265       	1.953640e-06	3.333989e-01	-2.276990e+00	2.610389e+00
30.0298       	1.953640e-06	3.333992e-01	-2.276991e+00	2.610390e+00
30.0332       	1.953640e-06	3.333995e-01	-2.276992e+00	2.610392e+00
30.0365       	1.953640e-06	3.333999e-01	-2.276993e+00	2.610393e+00
30.0398       	1.953640e-06	3.334002e-01	-2.276994e+00	2.610394e+00
30.0431       	1.953640e-06	3.334005e-01	-2.276995e+00	2.610395e+00
30.0464       	1.953640e-06	3.334008e-01	-2.276996e+00	2.610397e+00
30.0497       	1.953640e-06	3.334011e-01	-2.276997e+00	2.610398e+00
30.0531       	1.953640e-06	3.334014e-01	-2.276998e+00	2.610399e+00
30.0564       	1.953640e-06	3.334017e-01	-2.276998e+00	2.610400e+00
30.0597       	1.953640e-06	3.334020e-01	-2.276999e+00	2.610401e+00
30.063        	1.953640e-06	3.334023e-01	-2.277000e+00	2.610403e+00
30.0663       	1.953640e-06	3.334026e-01	-2.277001e+00	2.610404e+00
30.0696       	1.953640e-06	3.334029e-01	-2.277002e+00	2.610405e+00
30.0729       	1.953640e-06	3.334032e-01	-2.277003e+00	2.610406e+00
30.0763       	1.953640e-06	3.334035e-01	-2.277004e+00	2.610407e+00
30.0796       	1.953640e-06	3.334038e-01	-2.277005e+00	2.610409e+00
30.0829       	1.953640e-06	3.334041e-01	-2.277006e+00	2.610410e+00
30.0862       	1.953640e-06	3.334044e-01	-2.277007e+00	2.610411e+00
30.0895       	1.953640e-06	3.334047e-01	-2.277007e+00	2.610412e+00
30.0928       	1.953640e-06	3.334050e-01	-2.277008e+00	2.610413e+00
30.0962       	1.953640e-06	3.334053e-01	-2.277009e+00	2.610415e+00
30.0995       	1.953640e-06	3.334056e-01	-2.277010e+00	2.610416e+00
30.1028       	1.953640e-06	3.334059e-01	-2.277011e+00	2.610417e+00
30.1061       	1.953640e-06	3.334062e-01	-2.277012e+00	2.610418e+00
30.1094       	1.953640e-06	3.334064e-01	-2.277013e+00	2.610419e+00
30.1127       	1.953640e-06	3.334067e-01	-2.277014e+00	2.610420e+00
30.116        	1.953640e-06	3.334070e-01	-2.277015e+00	2.610422e+00
30.1194       	1.953640e-06	3.334073e-01	-2.277016e+00	2.610423e+00
30.1227       	1.953640e-06	3.334076e-01	-2.277016e+00	2.610424e+00
30.126        	1.953640e-06	3.334079e-01	-2.277017e+00	2.610425e+00
30.1293       	1.953640e-06	3.334082e-01	-2.277018e+00	2.610426e+00
30.1326       	1.953640e-06	3.334085e-01	-2.277019e+00	2.610428e+00
30.1359       	1.953640e-06	3.334088e-01	-2.277020e+00	2.610429e+00
30.1393       	1.953640e-06	3.334091e-01	-2.277021e+00	2.610430e+00
30.1426       	1.953640e-06	3.334094e-01	-2.277022e+00	2.610431e+00
30.1459       	1.953640e-06	3.334097e-01	-2.277023e+00	2.610432e+00
30.1492       	1.953640e-06	3.334099e-01	-2.277024e+00	2.610434e+00
30.1525       	1.953640e-06	3.334102e-01	-2.277025e+00	2.610435e+00
30.1558       	1.953640e-06	3.334105e-01	-2.277025e+00	2.610436e+00
30.1592       	1.953640e-06	3.334108e-01	-2.277026e+00	2.610437e+00
30.1625       	1.953640e-06	3.334111e-01	-2.277027e+00	2.610438e+00
30.1658       	1.953640e-06	3.334114e-01	-2.277028e+00	2.610439e+00
30.1691       	1.953640e-06	3.334117e-01	-2.277029e+00	2.610441e+00
30.1724       	1.953640e-06	3.334119e-01	-2.277030e+00	2.610442e+00
30.1757       	1.953640e-06	3.334122e-01	-2.277031e+00	2.610443e+00
30.179        	1.953640e-06	3.334125e-01	-2.277032e+00	2.610444e+00
30.1824       	1.953640e-06	3.334128e-01	-2.277033e+00	2.610445e+00
30.1857       	1.953640e-06	3.334131e-01	-2.277033e+00	2.610447e+00
30.189        	1.953640e-06	3.334134e-01	-2.277034e+00	2.610448e+00
30.1923       	1.953640e-06	3.334136e-01	-2.277035e+00	2.610449e+00
30.1956       	1.953640e-06	3.334139e-01	-2.277036e+00	2.610450e+00
30.1989       	1.953640e-06	3.334142e-01	-2.277037e+00	2.610451e+00
30.2023       	1.953640e-06	3.334145e-01	-2.277038e+00	2.610452e+00
30.2056       	1.953640e-06	3.334148e-01	-2.277039e+00	2.610454e+00
30.2089       	1.953640e-06	3.334150e-01	-2.277040e+00	2.610455e+00
30.2122       	1.953640e-06	3.334153e-01	-2.277041e+00	2.610456e+00
30.2155       	1.953640e-06	3.334156e-01	-2.277042e+00	2.610457e+00
30.2188       	1.953640e-06	3.334159e-01	-2.277042e+00	2.610458e+00
30.2221       	1.953640e-06	3.334161e-01	-2.277043e+00	2.610459e+00
30.2255       	1.953640e-06	3.334164e-01	-2.277044e+00	2.610461e+00
30.2288       	1.953640e-06	3.334167e-01	-2.277045e+00	2.610462e+00
30.2321       	1.953640e-06	3.334170e-01	-2.277046e+00	2.610463e+00
30.2354       	1.953640e-06	3.334172e-01	-2.277047e+00	2.610464e+00
30.2387       	1.953640e-06	3.334175e-01	-2.277048e+00	2.610465e+00
30.242        	1.953640e-06	3.334178e-01	-2.277049e+00	2.610466e+00
30.2453       	1.953640e-06	3.334180e-01	-2.277050e+00	2.610468e+00
30.2487       	1.953640e-06	3.334183e-01	-2.277050e+00	2.610469e+00
30.252        	1.953640e-06	3.334186e-01	-2.277051e+00	2.610470e+00
30.2553       	1.953640e-06	3.334189e-01	-2.277052e+00	2.610471e+00
30.2586       	1.953640e-06	3.334191e-01	-2.277053e+00	2.610472e+00
30.2619       	1.953640e-06	3.334194e-01	-2.277054e+00	2.610473e+00
