# Region type : surface bottom
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	1.640497e+00	-6.374702e-01	2.277968e+00
30.0057       	1.953640e-06	1.640492e+00	-6.374735e-01	2.277966e+00
30.0114       	1.953640e-06	1.640487e+00	-6.374767e-01	2.277964e+00
30.017        	1.953640e-06	1.640482e+00	-6.374799e-01	2.277962e+00
30.0227       	1.953640e-06	1.640477e+00	-6.374832e-01	2.277960e+00
30.0284       	1.953640e-06	1.640472e+00	-6.374864e-01	2.277958e+00
30.0341       	1.953640e-06	1.640467e+00	-6.374896e-01	2.277956e+00
30.0397       	1.953640e-06	1.640462e+00	-6.374928e-01	2.277955e+00
30.0454       	1.953640e-06	1.640457e+00	-6.374959e-01	2.277953e+00
30.0511       	1.953640e-06	1.640452e+00	-6.374991e-01	2.277951e+00
30.0568       	1.953640e-06	1.640447e+00	-6.375023e-01	2.277950e+00
30.0624       	1.953640e-06	1.640443e+00	-6.375054e-01	2.277948e+00
30.0681       	1.953640e-06	1.640438e+00	-6.375086e-01	2.277947e+00
30.0738       	1.953640e-06	1.640434e+00	-6.375117e-01	2.277945e+00
30.0795       	1.953640e-06	1.640429e+00	-6.375148e-01	2.277944e+00
30.0851       	1.953640e-06	1.640425e+00	-6.375180e-01	2.277942e+00
30.0908       	1.953640e-06	1.640420e+00	-6.375211e-01	2.277941e+00
30.0965       	1.953640e-06	1.640416e+00	-6.375242e-01	2.277940e+00
30.1022       	1.953640e-06	1.640411e+00	-6.375273e-01	2.277939e+00
30.1078       	1.953640e-06	1.640407e+00	-6.375303e-01	2.277937e+00
30.1135       	1.953640e-06	1.640403e+00	-6.375334e-01	2.277936e+00
30.1192       	1.953640e-06	1.640399e+00	-6.375365e-01	2.277935e+00
30.1249       	1.953640e-06	1.640395e+00	-6.375395e-01	2.277934e+00
30.1305       	1.953640e-06	1.640390e+00	-6.375426e-01	2.277933e+00
30.1362       	1.953640e-06	1.640386e+00	-6.375456e-01	2.277932e+00
30.1419       	1.953640e-06	1.640382e+00	-6.375486e-01	2.277931e+00
30.1476       	1.953640e-06	1.640379e+00	-6.375517e-01	2.277930e+00
30.1532       	1.953640e-06	1.640375e+00	-6.375547e-01	2.277929e+00
30.1589       	1.953640e-06	1.640371e+00	-6.375577e-01	2.277929e+00
30.1646       	1.953640e-06	1.640367e+00	-6.375607e-01	2.277928e+00
30.1703       	1.953640e-06	1.640363e+00	-6.375636e-01	2.277927e+00
30.1759       	1.953640e-06	1.640360e+00	-6.375666e-01	2.277926e+00
30.1816       	1.953640e-06	1.640356e+00	-6.375696e-01	2.277926e+00
30.1873       	1.953640e-06	1.640352e+00	-6.375725e-01	2.277925e+00
30.193        	1.953640e-06	1.640349e+00	-6.375755e-01	2.277924e+00
30.1986       	1.953640e-06	1.640345e+00	-6.375784e-01	2.277924e+00
30.2043       	1.953640e-06	1.640342e+00	-6.375813e-01	2.277923e+00
30.21         	1.953640e-06	1.640339e+00	-6.375842e-01	2.277923e+00
30.2157       	1.953640e-06	1.640335e+00	-6.375871e-01	2.277922e+00
30.2213       	1.953640e-06	1.640332e+00	-6.375900e-01	2.277922e+00
30.227        	1.953640e-06	1.640329e+00	-6.375929e-01	2.277922e+00
30.2327       	1.953640e-06	1.640326e+00	-6.375958e-01	2.277921e+00
30.2384       	1.953640e-06	1.640323e+00	-6.375987e-01	2.277921e+00
30.244        	1.953640e-06	1.640319e+00	-6.376015e-01	2.277921e+00
30.2497       	1.953640e-06	1.640316e+00	-6.376044e-01	2.277921e+00
30.2554       	1.953640e-06	1.640313e+00	-6.376072e-01	2.277921e+00
30.2611       	1.953640e-06	1.640310e+00	-6.376100e-01	2.277921e+00
