# Region type : surface middle
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	1.880421e+00	-1.739842e-01	2.054406e+00
30.0057       	1.953640e-06	1.880426e+00	-1.739887e-01	2.054415e+00
30.0114       	1.953640e-06	1.880431e+00	-1.739932e-01	2.054424e+00
30.017        	1.953640e-06	1.880436e+00	-1.739977e-01	2.054434e+00
30.0227       	1.953640e-06	1.880441e+00	-1.740021e-01	2.054443e+00
30.0284       	1.953640e-06	1.880446e+00	-1.740066e-01	2.054453e+00
30.0341       	1.953640e-06	1.880451e+00	-1.740110e-01	2.054462e+00
30.0397       	1.953640e-06	1.880456e+00	-1.740155e-01	2.054472e+00
30.0454       	1.953640e-06	1.880462e+00	-1.740199e-01	2.054481e+00
30.0511       	1.953640e-06	1.880467e+00	-1.740243e-01	2.054491e+00
30.0568       	1.953640e-06	1.880472e+00	-1.740287e-01	2.054501e+00
30.0624       	1.953640e-06	1.880477e+00	-1.740331e-01	2.054511e+00
30.0681       	1.953640e-06	1.880483e+00	-1.740374e-01	2.054520e+00
30.0738       	1.953640e-06	1.880488e+00	-1.740418e-01	2.054530e+00
30.0795       	1.953640e-06	1.880494e+00	-1.740461e-01	2.054540e+00
30.0851       	1.953640e-06	1.880499e+00	-1.740505e-01	2.054550e+00
30.0908       	1.953640e-06	1.880505e+00	-1.740548e-01	2.054560e+00
30.0965       	1.953640e-06	1.880510e+00	-1.740591e-01	2.054569e+00
30.1022       	1.953640e-06	1.880516e+00	-1.740634e-01	2.054579e+00
30.1078       	1.953640e-06	1.880522e+00	-1.740676e-01	2.054589e+00
30.1135       	1.953640e-06	1.880528e+00	-1.740719e-01	2.054599e+00
30.1192       	1.953640e-06	1.880533e+00	-1.740762e-01	2.054609e+00
30.1249       	1.953640e-06	1.880539e+00	-1.740804e-01	2.054620e+00
30.1305       	1.953640e-06	1.880545e+00	-1.740846e-01	2.054630e+00
30.1362       	1.953640e-06	1.880551e+00	-1.740888e-01	2.054640e+00
30.1419       	1.953640e-06	1.880557e+00	-1.740930e-01	2.054650e+00
30.1476       	1.953640e-06	1.880563e+00	-1.740972e-01	2.054660e+00
30.1532       	1.953640e-06	1.880569e+00	-1.741014e-01	2.054670e+00
30.1589       	1.953640e-06	1.880575e+00	-1.741055e-01	2.054681e+00
30.1646       	1.953640e-06	1.880581e+00	-1.741097e-01	2.054691e+00
30.1703       	1.953640e-06	1.880588e+00	-1.741138e-01	2.054701e+00
30.1759       	1.953640e-06	1.880594e+00	-1.741179e-01	2.054712e+00
30.1816       	1.953640e-06	1.880600e+00	-1.741220e-01	2.054722e+00
30.1873       	1.953640e-06	1.880606e+00	-1.741261e-01	2.054733e+00
30.193        	1.953640e-06	1.880613e+00	-1.741302e-01	2.054743e+00
30.1986       	1.953640e-06	1.880619e+00	-1.741342e-01	2.054753e+00
30.2043       	1.953640e-06	1.880626e+00	-1.741383e-01	2.054764e+00
30.21         	1.953640e-06	1.880632e+00	-1.741423e-01	2.054775e+00
30.2157       	1.953640e-06	1.880639e+00	-1.741463e-01	2.054785e+00
30.2213       	1.953640e-06	1.880645e+00	-1.741503e-01	2.054796e+00
30.227        	1.953640e-06	1.880652e+00	-1.741543e-01	2.054806e+00
30.2327       	1.953640e-06	1.880659e+00	-1.741583e-01	2.054817e+00
30.2384       	1.953640e-06	1.880665e+00	-1.741623e-01	2.054828e+00
30.244        	1.953640e-06	1.880672e+00	-1.741662e-01	2.054838e+00
30.2497       	1.953640e-06	1.880679e+00	-1.741702e-01	2.054849e+00
