# Region type : surface middle
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	2.128308e+00	-1.739842e-01	2.302292e+00
30.0057       	1.953640e-06	2.128314e+00	-1.739887e-01	2.302302e+00
30.0114       	1.953640e-06	2.128319e+00	-1.739932e-01	2.302312e+00
30.017        	1.953640e-06	2.128325e+00	-1.739977e-01	2.302322e+00
30.0227       	1.953640e-06	2.128330e+00	-1.740021e-01	2.302333e+00
30.0284       	1.953640e-06	2.128336e+00	-1.740066e-01	2.302343e+00
30.0341       	1.953640e-06	2.128342e+00	-1.740110e-01	2.302353e+00
30.0397       	1.953640e-06	2.128348e+00	-1.740155e-01	2.302363e+00
30.0454       	1.953640e-06	2.128354e+00	-1.740199e-01	2.302373e+00
30.0511       	1.953640e-06	2.128359e+00	-1.740243e-01	2.302384e+00
30.0568       	1.953640e-06	2.128365e+00	-1.740287e-01	2.302394e+00
30.0624       	1.953640e-06	2.128371e+00	-1.740331e-01	2.302405e+00
30.0681       	1.953640e-06	2.128378e+00	-1.740374e-01	2.302415e+00
30.0738       	1.953640e-06	2.128384e+00	-1.740418e-01	2.302426e+00
30.0795       	1.953640e-06	2.128390e+00	-1.740461e-01	2.302436e+00
30.0851       	1.953640e-06	2.128396e+00	-1.740505e-01	2.302447e+00
30.0908       	1.953640e-06	2.128402e+00	-1.740548e-01	2.302457e+00
30.0965       	1.953640e-06	2.128409e+00	-1.740591e-01	2.302468e+00
30.1022       	1.953640e-06	2.128415e+00	-1.740634e-01	2.302479e+00
30.1078       	1.953640e-06	2.128422e+00	-1.740676e-01	2.302489e+00
30.1135       	1.953640e-06	2.128428e+00	-1.740719e-01	2.302500e+00
30.1192       	1.953640e-06	2.128435e+00	-1.740762e-01	2.302511e+00
30.1249       	1.953640e-06	2.128441e+00	-1.740804e-01	2.302522e+00
30.1305       	1.953640e-06	2.128448e+00	-1.740846e-01	2.302533e+00
30.1362       	1.953640e-06	2.128455e+00	-1.740888e-01	2.302544e+00
30.1419       	1.953640e-06	2.128462e+00	-1.740930e-01	2.302555e+00
30.1476       	1.953640e-06	2.128468e+00	-1.740972e-01	2.302566e+00
30.1532       	1.953640e-06	2.128475e+00	-1.741014e-01	2.302577e+00
30.1589       	1.953640e-06	2.128482e+00	-1.741055e-01	2.302588e+00
30.1646       	1.953640e-06	2.128489e+00	-1.741097e-01	2.302599e+00
30.1703       	1.953640e-06	2.128496e+00	-1.741138e-01	2.302610e+00
30.1759       	1.953640e-06	2.128503e+00	-1.741179e-01	2.302621e+00
30.1816       	1.953640e-06	2.128510e+00	-1.741220e-01	2.302632e+00
30.1873       	1.953640e-06	2.128518e+00	-1.741261e-01	2.302644e+00
30.193        	1.953640e-06	2.128525e+00	-1.741302e-01	2.302655e+00
30.1986       	1.953640e-06	2.128532e+00	-1.741342e-01	2.302666e+00
30.2043       	1.953640e-06	2.128539e+00	-1.741383e-01	2.302678e+00
30.21         	1.953640e-06	2.128547e+00	-1.741423e-01	2.302689e+00
30.2157       	1.953640e-06	2.128554e+00	-1.741463e-01	2.302700e+00
30.2213       	1.953640e-06	2.128562e+00	-1.741503e-01	2.302712e+00
30.227        	1.953640e-06	2.128569e+00	-1.741543e-01	2.302723e+00
30.2327       	1.953640e-06	2.128577e+00	-1.741583e-01	2.302735e+00
30.2384       	1.953640e-06	2.128584e+00	-1.741623e-01	2.302747e+00
30.244        	1.953640e-06	2.128592e+00	-1.741662e-01	2.302758e+00
30.2497       	1.953640e-06	2.128600e+00	-1.741702e-01	2.302770e+00
30.2554       	1.953640e-06	2.128607e+00	-1.741741e-01	2.302782e+00
30.2611       	1.953640e-06	2.128615e+00	-1.741780e-01	2.302793e+00
30.2667       	1.953640e-06	2.128623e+00	-1.741819e-01	2.302805e+00
30.2724       	1.953640e-06	2.128631e+00	-1.741858e-01	2.302817e+00
30.2781       	1.953640e-06	2.128639e+00	-1.741897e-01	2.302829e+00
