# Region type : surface top
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	8.504281e-01	-1.254367e+00	2.104795e+00
30.0057       	1.953640e-06	8.504284e-01	-1.254367e+00	2.104796e+00
30.0114       	1.953640e-06	8.504289e-01	-1.254368e+00	2.104797e+00
30.017        	1.953640e-06	8.504293e-01	-1.254369e+00	2.104798e+00
30.0227       	1.953640e-06	8.504297e-01	-1.254370e+00	2.104800e+00
30.0284       	1.953640e-06	8.504302e-01	-1.254371e+00	2.104801e+00
30.0341       	1.953640e-06	8.504307e-01	-1.254372e+00	2.104802e+00
30.0397       	1.953640e-06	8.504312e-01	-1.254372e+00	2.104804e+00
30.0454       	1.953640e-06	8.504318e-01	-1.254373e+00	2.104805e+00
30.0511       	1.953640e-06	8.504323e-01	-1.254374e+00	2.104807e+00
30.0568       	1.953640e-06	8.504329e-01	-1.254375e+00	2.104808e+00
30.0624       	1.953640e-06	8.504335e-01	-1.254376e+00	2.104809e+00
30.0681       	1.953640e-06	8.504341e-01	-1.254377e+00	2.104811e+00
30.0738       	1.953640e-06	8.504348e-01	-1.254378e+00	2.104812e+00
30.0795       	1.953640e-06	8.504354e-01	-1.254379e+00	2.104814e+00
30.0851       	1.953640e-06	8.504361e-01	-1.254379e+00	2.104815e+00
30.0908       	1.953640e-06	8.504368e-01	-1.254380e+00	2.104817e+00
30.0965       	1.953640e-06	8.504375e-01	-1.254381e+00	2.104819e+00
30.1022       	1.953640e-06	8.504383e-01	-1.254382e+00	2.104820e+00
30.1078       	1.953640e-06	8.504390e-01	-1.254383e+00	2.104822e+00
30.1135       	1.953640e-06	8.504398e-01	-1.254384e+00	2.104824e+00
30.1192       	1.953640e-06	8.504406e-01	-1.254385e+00	2.104825e+00
30.1249       	1.953640e-06	8.504414e-01	-1.254386e+00	2.104827e+00
30.1305       	1.953640e-06	8.504422e-01	-1.254387e+00	2.104829e+00
30.1362       	1.953640e-06	8.504431e-01	-1.254387e+00	2.104831e+00
30.1419       	1.953640e-06	8.504440e-01	-1.254388e+00	2.104832e+00
30.1476       	1.953640e-06	8.504449e-01	-1.254389e+00	2.104834e+00
30.1532       	1.953640e-06	8.504458e-01	-1.254390e+00	2.104836e+00
30.1589       	1.953640e-06	8.504467e-01	-1.254391e+00	2.104838e+00
30.1646       	1.953640e-06	8.504477e-01	-1.254392e+00	2.104840e+00
30.1703       	1.953640e-06	8.504486e-01	-1.254393e+00	2.104842e+00
30.1759       	1.953640e-06	8.504496e-01	-1.254394e+00	2.104843e+00
30.1816       	1.953640e-06	8.504506e-01	-1.254395e+00	2.104845e+00
30.1873       	1.953640e-06	8.504516e-01	-1.254396e+00	2.104847e+00
30.193        	1.953640e-06	8.504527e-01	-1.254397e+00	2.104849e+00
30.1986       	1.953640e-06	8.504538e-01	-1.254398e+00	2.104851e+00
30.2043       	1.953640e-06	8.504548e-01	-1.254399e+00	2.104853e+00
30.21         	1.953640e-06	8.504559e-01	-1.254399e+00	2.104855e+00
30.2157       	1.953640e-06	8.504571e-01	-1.254400e+00	2.104857e+00
30.2213       	1.953640e-06	8.504582e-01	-1.254401e+00	2.104860e+00
30.227        	1.953640e-06	8.504593e-01	-1.254402e+00	2.104862e+00
30.2327       	1.953640e-06	8.504605e-01	-1.254403e+00	2.104864e+00
30.2384       	1.953640e-06	8.504617e-01	-1.254404e+00	2.104866e+00
30.244        	1.953640e-06	8.504629e-01	-1.254405e+00	2.104868e+00
30.2497       	1.953640e-06	8.504642e-01	-1.254406e+00	2.104870e+00
30.2554       	1.953640e-06	8.504654e-01	-1.254407e+00	2.104873e+00
30.2611       	1.953640e-06	8.504667e-01	-1.254408e+00	2.104875e+00
30.2667       	1.953640e-06	8.504680e-01	-1.254409e+00	2.104877e+00
30.2724       	1.953640e-06	8.504693e-01	-1.254410e+00	2.104879e+00
30.2781       	1.953640e-06	8.504706e-01	-1.254411e+00	2.104882e+00
30.2838       	1.953640e-06	8.504719e-01	-1.254412e+00	2.104884e+00
30.2894       	1.953640e-06	8.504733e-01	-1.254413e+00	2.104886e+00
30.2951       	1.953640e-06	8.504747e-01	-1.254414e+00	2.104889e+00
