# Region type : surface top
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	9.625358e-01	-1.254367e+00	2.216902e+00
30.0057       	1.953640e-06	9.625362e-01	-1.254367e+00	2.216904e+00
30.0114       	1.953640e-06	9.625367e-01	-1.254368e+00	2.216905e+00
30.017        	1.953640e-06	9.625372e-01	-1.254369e+00	2.216906e+00
30.0227       	1.953640e-06	9.625377e-01	-1.254370e+00	2.216908e+00
30.0284       	1.953640e-06	9.625382e-01	-1.254371e+00	2.216909e+00
30.0341       	1.953640e-06	9.625388e-01	-1.254372e+00	2.216910e+00
30.0397       	1.953640e-06	9.625394e-01	-1.254372e+00	2.216912e+00
30.0454       	1.953640e-06	9.625400e-01	-1.254373e+00	2.216913e+00
30.0511       	1.953640e-06	9.625406e-01	-1.254374e+00	2.216915e+00
30.0568       	1.953640e-06	9.625413e-01	-1.254375e+00	2.216916e+00
30.0624       	1.953640e-06	9.625420e-01	-1.254376e+00	2.216918e+00
30.0681       	1.953640e-06	9.625427e-01	-1.254377e+00	2.216919e+00
30.0738       	1.953640e-06	9.625434e-01	-1.254378e+00	2.216921e+00
30.0795       	1.953640e-06	9.625441e-01	-1.254379e+00	2.216923e+00
30.0851       	1.953640e-06	9.625449e-01	-1.254379e+00	2.216924e+00
30.0908       	1.953640e-06	9.625457e-01	-1.254380e+00	2.216926e+00
30.0965       	1.953640e-06	9.625465e-01	-1.254381e+00	2.216928e+00
30.1022       	1.953640e-06	9.625473e-01	-1.254382e+00	2.216929e+00
30.1078       	1.953640e-06	9.625482e-01	-1.254383e+00	2.216931e+00
30.1135       	1.953640e-06	9.625491e-01	-1.254384e+00	2.216933e+00
30.1192       	1.953640e-06	9.625500e-01	-1.254385e+00	2.216935e+00
30.1249       	1.953640e-06	9.625509e-01	-1.254386e+00	2.216937e+00
30.1305       	1.953640e-06	9.625518e-01	-1.254387e+00	2.216938e+00
30.1362       	1.953640e-06	9.625528e-01	-1.254387e+00	2.216940e+00
30.1419       	1.953640e-06	9.625538e-01	-1.254388e+00	2.216942e+00
30.1476       	1.953640e-06	9.625548e-01	-1.254389e+00	2.216944e+00
30.1532       	1.953640e-06	9.625558e-01	-1.254390e+00	2.216946e+00
30.1589       	1.953640e-06	9.625569e-01	-1.254391e+00	2.216948e+00
30.1646       	1.953640e-06	9.625580e-01	-1.254392e+00	2.216950e+00
30.1703       	1.953640e-06	9.625591e-01	-1.254393e+00	2.216952e+00
30.1759       	1.953640e-06	9.625602e-01	-1.254394e+00	2.216954e+00
30.1816       	1.953640e-06	9.625613e-01	-1.254395e+00	2.216956e+00
30.1873       	1.953640e-06	9.625625e-01	-1.254396e+00	2.216958e+00
30.193        	1.953640e-06	9.625637e-01	-1.254397e+00	2.216960e+00
30.1986       	1.953640e-06	9.625649e-01	-1.254398e+00	2.216962e+00
30.2043       	1.953640e-06	9.625661e-01	-1.254399e+00	2.216965e+00
30.21         	1.953640e-06	9.625673e-01	-1.254399e+00	2.216967e+00
30.2157       	1.953640e-06	9.625686e-01	-1.254400e+00	2.216969e+00
30.2213       	1.953640e-06	9.625699e-01	-1.254401e+00	2.216971e+00
30.227        	1.953640e-06	9.625712e-01	-1.254402e+00	2.216974e+00
30.2327       	1.953640e-06	9.625725e-01	-1.254403e+00	2.216976e+00
30.2384       	1.953640e-06	9.625739e-01	-1.254404e+00	2.216978e+00
30.244        	1.953640e-06	9.625753e-01	-1.254405e+00	2.216980e+00
30.2497       	1.953640e-06	9.625767e-01	-1.254406e+00	2.216983e+00
30.2554       	1.953640e-06	9.625781e-01	-1.254407e+00	2.216985e+00
30.2611       	1.953640e-06	9.625795e-01	-1.254408e+00	2.216988e+00
30.2667       	1.953640e-06	9.625810e-01	-1.254409e+00	2.216990e+00
30.2724       	1.953640e-06	9.625824e-01	-1.254410e+00	2.216992e+00
30.2781       	1.953640e-06	9.625839e-01	-1.254411e+00	2.216995e+00
30.2838       	1.953640e-06	9.625854e-01	-1.254412e+00	2.216997e+00
30.2894       	1.953640e-06	9.625870e-01	-1.254413e+00	2.217000e+00
30.2951       	1.953640e-06	9.625885e-01	-1.254414e+00	2.217002e+00
30.3008       	1.953640e-06	9.625901e-01	-1.254415e+00	2.217005e+00
30.3065       	1.953640e-06	9.625917e-01	-1.254416e+00	2.217008e+00
30.3121       	1.953640e-06	9.625933e-01	-1.254417e+00	2.217010e+00
30.3178       	1.953640e-06	9.625950e-01	-1.254418e+00	2.217013e+00
30.3235       	1.953640e-06	9.625966e-01	-1.254419e+00	2.217016e+00
30.3292       	1.953640e-06	9.625983e-01	-1.254420e+00	2.217018e+00
30.3348       	1.953640e-06	9.626000e-01	-1.254421e+00	2.217021e+00
30.3405       	1.953640e-06	9.626017e-01	-1.254422e+00	2.217024e+00
30.3462       	1.953640e-06	9.626035e-01	-1.254423e+00	2.217026e+00
30.3519       	1.953640e-06	9.626052e-01	-1.254424e+00	2.217029e+00
30.3575       	1.953640e-06	9.626070e-01	-1.254425e+00	2.217032e+00
30.3632       	1.953640e-06	9.626088e-01	-1.254426e+00	2.217035e+00
30.3689       	1.953640e-06	9.626106e-01	-1.254427e+00	2.217038e+00
30.3746       	1.953640e-06	9.626124e-01	-1.254428e+00	2.217040e+00
30.3802       	1.953640e-06	9.626143e-01	-1.254429e+00	2.217043e+00
30.3859       	1.953640e-06	9.626162e-01	-1.254430e+00	2.217046e+00
30.3916       	1.953640e-06	9.626180e-01	-1.254431e+00	2.217049e+00
30.3973       	1.953640e-06	9.626200e-01	-1.254432e+00	2.217052e+00
30.403        	1.953640e-06	9.626219e-01	-1.254433e+00	2.217055e+00
30.4086       	1.953640e-06	9.626238e-01	-1.254434e+00	2.217058e+00
30.4143       	1.953640e-06	9.626258e-01	-1.254435e+00	2.217061e+00
30.42         	1.953640e-06	9.626278e-01	-1.254436e+00	2.217064e+00
30.4257       	1.953640e-06	9.626298e-01	-1.254437e+00	2.217067e+00
30.4313       	1.953640e-06	9.626318e-01	-1.254438e+00	2.217070e+00
30.437        	1.953640e-06	9.626339e-01	-1.254439e+00	2.217073e+00
30.4427       	1.953640e-06	9.626359e-01	-1.254440e+00	2.217076e+00
30.4484       	1.953640e-06	9.626380e-01	-1.254441e+00	2.217079e+00
30.454        	1.953640e-06	9.626401e-01	-1.254443e+00	2.217083e+00
30.4597       	1.953640e-06	9.626422e-01	-1.254444e+00	2.217086e+00
