# Region type : surface veryBottom
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	4.887610e-01	-1.638977e+00	2.127738e+00
30.0057       	1.953640e-06	4.887572e-01	-1.638970e+00	2.127727e+00
30.0114       	1.953640e-06	4.887535e-01	-1.638964e+00	2.127717e+00
30.017        	1.953640e-06	4.887498e-01	-1.638957e+00	2.127707e+00
30.0227       	1.953640e-06	4.887461e-01	-1.638950e+00	2.127696e+00
30.0284       	1.953640e-06	4.887424e-01	-1.638944e+00	2.127686e+00
30.0341       	1.953640e-06	4.887387e-01	-1.638937e+00	2.127676e+00
30.0397       	1.953640e-06	4.887351e-01	-1.638930e+00	2.127665e+00
30.0454       	1.953640e-06	4.887315e-01	-1.638924e+00	2.127655e+00
30.0511       	1.953640e-06	4.887279e-01	-1.638917e+00	2.127645e+00
30.0568       	1.953640e-06	4.887243e-01	-1.638911e+00	2.127635e+00
30.0624       	1.953640e-06	4.887208e-01	-1.638904e+00	2.127625e+00
30.0681       	1.953640e-06	4.887172e-01	-1.638897e+00	2.127615e+00
30.0738       	1.953640e-06	4.887137e-01	-1.638891e+00	2.127605e+00
30.0795       	1.953640e-06	4.887102e-01	-1.638884e+00	2.127595e+00
30.0851       	1.953640e-06	4.887067e-01	-1.638878e+00	2.127585e+00
30.0908       	1.953640e-06	4.887033e-01	-1.638871e+00	2.127575e+00
30.0965       	1.953640e-06	4.886998e-01	-1.638865e+00	2.127565e+00
30.1022       	1.953640e-06	4.886964e-01	-1.638859e+00	2.127555e+00
30.1078       	1.953640e-06	4.886930e-01	-1.638852e+00	2.127545e+00
30.1135       	1.953640e-06	4.886896e-01	-1.638846e+00	2.127535e+00
30.1192       	1.953640e-06	4.886862e-01	-1.638839e+00	2.127526e+00
30.1249       	1.953640e-06	4.886829e-01	-1.638833e+00	2.127516e+00
30.1305       	1.953640e-06	4.886796e-01	-1.638827e+00	2.127506e+00
30.1362       	1.953640e-06	4.886763e-01	-1.638820e+00	2.127497e+00
30.1419       	1.953640e-06	4.886730e-01	-1.638814e+00	2.127487e+00
30.1476       	1.953640e-06	4.886697e-01	-1.638808e+00	2.127477e+00
30.1532       	1.953640e-06	4.886665e-01	-1.638802e+00	2.127468e+00
30.1589       	1.953640e-06	4.886632e-01	-1.638795e+00	2.127458e+00
30.1646       	1.953640e-06	4.886600e-01	-1.638789e+00	2.127449e+00
30.1703       	1.953640e-06	4.886568e-01	-1.638783e+00	2.127440e+00
30.1759       	1.953640e-06	4.886536e-01	-1.638777e+00	2.127430e+00
30.1816       	1.953640e-06	4.886505e-01	-1.638770e+00	2.127421e+00
30.1873       	1.953640e-06	4.886473e-01	-1.638764e+00	2.127412e+00
30.193        	1.953640e-06	4.886442e-01	-1.638758e+00	2.127402e+00
30.1986       	1.953640e-06	4.886411e-01	-1.638752e+00	2.127393e+00
30.2043       	1.953640e-06	4.886380e-01	-1.638746e+00	2.127384e+00
30.21         	1.953640e-06	4.886350e-01	-1.638740e+00	2.127375e+00
30.2157       	1.953640e-06	4.886319e-01	-1.638734e+00	2.127366e+00
30.2213       	1.953640e-06	4.886289e-01	-1.638728e+00	2.127356e+00
30.227        	1.953640e-06	4.886259e-01	-1.638722e+00	2.127347e+00
30.2327       	1.953640e-06	4.886229e-01	-1.638715e+00	2.127338e+00
30.2384       	1.953640e-06	4.886199e-01	-1.638709e+00	2.127329e+00
30.244        	1.953640e-06	4.886170e-01	-1.638703e+00	2.127320e+00
30.2497       	1.953640e-06	4.886140e-01	-1.638697e+00	2.127312e+00
30.2554       	1.953640e-06	4.886111e-01	-1.638692e+00	2.127303e+00
30.2611       	1.953640e-06	4.886082e-01	-1.638686e+00	2.127294e+00
30.2667       	1.953640e-06	4.886053e-01	-1.638680e+00	2.127285e+00
30.2724       	1.953640e-06	4.886025e-01	-1.638674e+00	2.127276e+00
30.2781       	1.953640e-06	4.885996e-01	-1.638668e+00	2.127267e+00
30.2838       	1.953640e-06	4.885968e-01	-1.638662e+00	2.127259e+00
30.2894       	1.953640e-06	4.885940e-01	-1.638656e+00	2.127250e+00
30.2951       	1.953640e-06	4.885912e-01	-1.638650e+00	2.127241e+00
30.3008       	1.953640e-06	4.885884e-01	-1.638644e+00	2.127233e+00
30.3065       	1.953640e-06	4.885857e-01	-1.638639e+00	2.127224e+00
30.3121       	1.953640e-06	4.885830e-01	-1.638633e+00	2.127216e+00
30.3178       	1.953640e-06	4.885802e-01	-1.638627e+00	2.127207e+00
30.3235       	1.953640e-06	4.885775e-01	-1.638621e+00	2.127199e+00
30.3292       	1.953640e-06	4.885749e-01	-1.638616e+00	2.127190e+00
30.3348       	1.953640e-06	4.885722e-01	-1.638610e+00	2.127182e+00
30.3405       	1.953640e-06	4.885696e-01	-1.638604e+00	2.127174e+00
30.3462       	1.953640e-06	4.885669e-01	-1.638598e+00	2.127165e+00
30.3519       	1.953640e-06	4.885643e-01	-1.638593e+00	2.127157e+00
30.3575       	1.953640e-06	4.885617e-01	-1.638587e+00	2.127149e+00
30.3632       	1.953640e-06	4.885592e-01	-1.638581e+00	2.127141e+00
30.3689       	1.953640e-06	4.885566e-01	-1.638576e+00	2.127132e+00
30.3746       	1.953640e-06	4.885541e-01	-1.638570e+00	2.127124e+00
30.3802       	1.953640e-06	4.885515e-01	-1.638565e+00	2.127116e+00
30.3859       	1.953640e-06	4.885490e-01	-1.638559e+00	2.127108e+00
30.3916       	1.953640e-06	4.885465e-01	-1.638553e+00	2.127100e+00
30.3973       	1.953640e-06	4.885441e-01	-1.638548e+00	2.127092e+00
30.403        	1.953640e-06	4.885416e-01	-1.638542e+00	2.127084e+00
30.4086       	1.953640e-06	4.885392e-01	-1.638537e+00	2.127076e+00
30.4143       	1.953640e-06	4.885368e-01	-1.638531e+00	2.127068e+00
30.42         	1.953640e-06	4.885344e-01	-1.638526e+00	2.127060e+00
30.4257       	1.953640e-06	4.885320e-01	-1.638520e+00	2.127052e+00
30.4313       	1.953640e-06	4.885296e-01	-1.638515e+00	2.127045e+00
30.437        	1.953640e-06	4.885273e-01	-1.638510e+00	2.127037e+00
30.4427       	1.953640e-06	4.885250e-01	-1.638504e+00	2.127029e+00
30.4484       	1.953640e-06	4.885226e-01	-1.638499e+00	2.127021e+00
30.454        	1.953640e-06	4.885203e-01	-1.638493e+00	2.127014e+00
30.4597       	1.953640e-06	4.885181e-01	-1.638488e+00	2.127006e+00
30.4654       	1.953640e-06	4.885158e-01	-1.638483e+00	2.126999e+00
30.4711       	1.953640e-06	4.885136e-01	-1.638477e+00	2.126991e+00
30.4767       	1.953640e-06	4.885113e-01	-1.638472e+00	2.126983e+00
30.4824       	1.953640e-06	4.885091e-01	-1.638467e+00	2.126976e+00
30.4881       	1.953640e-06	4.885069e-01	-1.638461e+00	2.126968e+00
30.4938       	1.953640e-06	4.885048e-01	-1.638456e+00	2.126961e+00
30.4994       	1.953640e-06	4.885026e-01	-1.638451e+00	2.126954e+00
30.5051       	1.953640e-06	4.885005e-01	-1.638446e+00	2.126946e+00
30.5108       	1.953640e-06	4.884983e-01	-1.638441e+00	2.126939e+00
30.5165       	1.953640e-06	4.884962e-01	-1.638435e+00	2.126932e+00
30.5221       	1.953640e-06	4.884941e-01	-1.638430e+00	2.126924e+00
30.5278       	1.953640e-06	4.884921e-01	-1.638425e+00	2.126917e+00
30.5335       	1.953640e-06	4.884900e-01	-1.638420e+00	2.126910e+00
30.5392       	1.953640e-06	4.884880e-01	-1.638415e+00	2.126903e+00
30.5448       	1.953640e-06	4.884859e-01	-1.638410e+00	2.126896e+00
30.5505       	1.953640e-06	4.884839e-01	-1.638405e+00	2.126888e+00
30.5562       	1.953640e-06	4.884819e-01	-1.638399e+00	2.126881e+00
30.5619       	1.953640e-06	4.884800e-01	-1.638394e+00	2.126874e+00
30.5675       	1.953640e-06	4.884780e-01	-1.638389e+00	2.126867e+00
30.5732       	1.953640e-06	4.884761e-01	-1.638384e+00	2.126860e+00
30.5789       	1.953640e-06	4.884741e-01	-1.638379e+00	2.126853e+00
30.5846       	1.953640e-06	4.884722e-01	-1.638374e+00	2.126847e+00
30.5902       	1.953640e-06	4.884703e-01	-1.638369e+00	2.126840e+00
30.5959       	1.953640e-06	4.884684e-01	-1.638364e+00	2.126833e+00
30.6016       	1.953640e-06	4.884666e-01	-1.638359e+00	2.126826e+00
30.6073       	1.953640e-06	4.884647e-01	-1.638355e+00	2.126819e+00
30.6129       	1.953640e-06	4.884629e-01	-1.638350e+00	2.126812e+00
30.6186       	1.953640e-06	4.884611e-01	-1.638345e+00	2.126806e+00
30.6243       	1.953640e-06	4.884593e-01	-1.638340e+00	2.126799e+00
30.63         	1.953640e-06	4.884575e-01	-1.638335e+00	2.126792e+00
30.6356       	1.953640e-06	4.884558e-01	-1.638330e+00	2.126786e+00
30.6413       	1.953640e-06	4.884540e-01	-1.638325e+00	2.126779e+00
30.647        	1.953640e-06	4.884523e-01	-1.638320e+00	2.126773e+00
30.6527       	1.953640e-06	4.884506e-01	-1.638316e+00	2.126766e+00
30.6583       	1.953640e-06	4.884489e-01	-1.638311e+00	2.126760e+00
30.664        	1.953640e-06	4.884472e-01	-1.638306e+00	2.126753e+00
30.6697       	1.953640e-06	4.884455e-01	-1.638301e+00	2.126747e+00
30.6754       	1.953640e-06	4.884439e-01	-1.638297e+00	2.126740e+00
30.681        	1.953640e-06	4.884422e-01	-1.638292e+00	2.126734e+00
30.6867       	1.953640e-06	4.884406e-01	-1.638287e+00	2.126728e+00
30.6924       	1.953640e-06	4.884390e-01	-1.638282e+00	2.126721e+00
30.6981       	1.953640e-06	4.884374e-01	-1.638278e+00	2.126715e+00
30.7037       	1.953640e-06	4.884358e-01	-1.638273e+00	2.126709e+00
30.7094       	1.953640e-06	4.884343e-01	-1.638268e+00	2.126703e+00
30.7151       	1.953640e-06	4.884327e-01	-1.638264e+00	2.126697e+00
30.7208       	1.953640e-06	4.884312e-01	-1.638259e+00	2.126690e+00
30.7264       	1.953640e-06	4.884297e-01	-1.638255e+00	2.126684e+00
30.7321       	1.953640e-06	4.884282e-01	-1.638250e+00	2.126678e+00
30.7378       	1.953640e-06	4.884267e-01	-1.638245e+00	2.126672e+00
30.7435       	1.953640e-06	4.884252e-01	-1.638241e+00	2.126666e+00
30.7491       	1.953640e-06	4.884238e-01	-1.638236e+00	2.126660e+00
30.7548       	1.953640e-06	4.884223e-01	-1.638232e+00	2.126654e+00
30.7605       	1.953640e-06	4.884209e-01	-1.638227e+00	2.126648e+00
30.7662       	1.953640e-06	4.884195e-01	-1.638223e+00	2.126642e+00
30.7719       	1.953640e-06	4.884181e-01	-1.638218e+00	2.126637e+00
30.7775       	1.953640e-06	4.884167e-01	-1.638214e+00	2.126631e+00
30.7832       	1.953640e-06	4.884154e-01	-1.638210e+00	2.126625e+00
30.7889       	1.953640e-06	4.884140e-01	-1.638205e+00	2.126619e+00
30.7946       	1.953640e-06	4.884127e-01	-1.638201e+00	2.126613e+00
30.8002       	1.953640e-06	4.884114e-01	-1.638196e+00	2.126608e+00
30.8059       	1.953640e-06	4.884101e-01	-1.638192e+00	2.126602e+00
30.8116       	1.953640e-06	4.884088e-01	-1.638188e+00	2.126596e+00
30.8173       	1.953640e-06	4.884075e-01	-1.638183e+00	2.126591e+00
30.8229       	1.953640e-06	4.884063e-01	-1.638179e+00	2.126585e+00
30.8286       	1.953640e-06	4.884050e-01	-1.638175e+00	2.126580e+00
30.8343       	1.953640e-06	4.884038e-01	-1.638170e+00	2.126574e+00
30.84         	1.953640e-06	4.884026e-01	-1.638166e+00	2.126569e+00
30.8456       	1.953640e-06	4.884014e-01	-1.638162e+00	2.126563e+00
30.8513       	1.953640e-06	4.884002e-01	-1.638157e+00	2.126558e+00
30.857        	1.953640e-06	4.883990e-01	-1.638153e+00	2.126552e+00
30.8627       	1.953640e-06	4.883979e-01	-1.638149e+00	2.126547e+00
30.8683       	1.953640e-06	4.883967e-01	-1.638145e+00	2.126542e+00
30.874        	1.953640e-06	4.883956e-01	-1.638141e+00	2.126536e+00
30.8797       	1.953640e-06	4.883945e-01	-1.638136e+00	2.126531e+00
30.8854       	1.953640e-06	4.883934e-01	-1.638132e+00	2.126526e+00
30.891        	1.953640e-06	4.883923e-01	-1.638128e+00	2.126520e+00
30.8967       	1.953640e-06	4.883913e-01	-1.638124e+00	2.126515e+00
30.9024       	1.953640e-06	4.883902e-01	-1.638120e+00	2.126510e+00
30.9081       	1.953640e-06	4.883892e-01	-1.638116e+00	2.126505e+00
30.9137       	1.953640e-06	4.883881e-01	-1.638112e+00	2.126500e+00
30.9194       	1.953640e-06	4.883871e-01	-1.638108e+00	2.126495e+00
30.9251       	1.953640e-06	4.883861e-01	-1.638104e+00	2.126490e+00
30.9308       	1.953640e-06	4.883851e-01	-1.638099e+00	2.126485e+00
30.9364       	1.953640e-06	4.883842e-01	-1.638095e+00	2.126480e+00
30.9421       	1.953640e-06	4.883832e-01	-1.638091e+00	2.126475e+00
30.9478       	1.953640e-06	4.883823e-01	-1.638087e+00	2.126470e+00
