# Region type : surface veryBottom
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	5.531920e-01	-1.638977e+00	2.192169e+00
30.0057       	1.953640e-06	5.531877e-01	-1.638970e+00	2.192158e+00
30.0114       	1.953640e-06	5.531835e-01	-1.638964e+00	2.192147e+00
30.017        	1.953640e-06	5.531792e-01	-1.638957e+00	2.192136e+00
30.0227       	1.953640e-06	5.531751e-01	-1.638950e+00	2.192125e+00
30.0284       	1.953640e-06	5.531709e-01	-1.638944e+00	2.192114e+00
30.0341       	1.953640e-06	5.531668e-01	-1.638937e+00	2.192104e+00
30.0397       	1.953640e-06	5.531627e-01	-1.638930e+00	2.192093e+00
30.0454       	1.953640e-06	5.531586e-01	-1.638924e+00	2.192082e+00
30.0511       	1.953640e-06	5.531545e-01	-1.638917e+00	2.192072e+00
30.0568       	1.953640e-06	5.531504e-01	-1.638911e+00	2.192061e+00
30.0624       	1.953640e-06	5.531464e-01	-1.638904e+00	2.192050e+00
30.0681       	1.953640e-06	5.531424e-01	-1.638897e+00	2.192040e+00
30.0738       	1.953640e-06	5.531384e-01	-1.638891e+00	2.192029e+00
30.0795       	1.953640e-06	5.531345e-01	-1.638884e+00	2.192019e+00
30.0851       	1.953640e-06	5.531305e-01	-1.638878e+00	2.192008e+00
30.0908       	1.953640e-06	5.531266e-01	-1.638871e+00	2.191998e+00
30.0965       	1.953640e-06	5.531227e-01	-1.638865e+00	2.191988e+00
30.1022       	1.953640e-06	5.531188e-01	-1.638859e+00	2.191977e+00
30.1078       	1.953640e-06	5.531150e-01	-1.638852e+00	2.191967e+00
30.1135       	1.953640e-06	5.531112e-01	-1.638846e+00	2.191957e+00
30.1192       	1.953640e-06	5.531073e-01	-1.638839e+00	2.191947e+00
30.1249       	1.953640e-06	5.531036e-01	-1.638833e+00	2.191937e+00
30.1305       	1.953640e-06	5.530998e-01	-1.638827e+00	2.191926e+00
30.1362       	1.953640e-06	5.530960e-01	-1.638820e+00	2.191916e+00
30.1419       	1.953640e-06	5.530923e-01	-1.638814e+00	2.191906e+00
30.1476       	1.953640e-06	5.530886e-01	-1.638808e+00	2.191896e+00
30.1532       	1.953640e-06	5.530849e-01	-1.638802e+00	2.191886e+00
30.1589       	1.953640e-06	5.530813e-01	-1.638795e+00	2.191877e+00
30.1646       	1.953640e-06	5.530776e-01	-1.638789e+00	2.191867e+00
30.1703       	1.953640e-06	5.530740e-01	-1.638783e+00	2.191857e+00
30.1759       	1.953640e-06	5.530704e-01	-1.638777e+00	2.191847e+00
30.1816       	1.953640e-06	5.530669e-01	-1.638770e+00	2.191837e+00
30.1873       	1.953640e-06	5.530633e-01	-1.638764e+00	2.191828e+00
30.193        	1.953640e-06	5.530598e-01	-1.638758e+00	2.191818e+00
30.1986       	1.953640e-06	5.530563e-01	-1.638752e+00	2.191808e+00
30.2043       	1.953640e-06	5.530528e-01	-1.638746e+00	2.191799e+00
30.21         	1.953640e-06	5.530493e-01	-1.638740e+00	2.191789e+00
30.2157       	1.953640e-06	5.530459e-01	-1.638734e+00	2.191779e+00
30.2213       	1.953640e-06	5.530424e-01	-1.638728e+00	2.191770e+00
30.227        	1.953640e-06	5.530390e-01	-1.638722e+00	2.191761e+00
30.2327       	1.953640e-06	5.530356e-01	-1.638715e+00	2.191751e+00
30.2384       	1.953640e-06	5.530323e-01	-1.638709e+00	2.191742e+00
30.244        	1.953640e-06	5.530289e-01	-1.638703e+00	2.191732e+00
30.2497       	1.953640e-06	5.530256e-01	-1.638697e+00	2.191723e+00
30.2554       	1.953640e-06	5.530223e-01	-1.638692e+00	2.191714e+00
30.2611       	1.953640e-06	5.530190e-01	-1.638686e+00	2.191705e+00
30.2667       	1.953640e-06	5.530158e-01	-1.638680e+00	2.191695e+00
30.2724       	1.953640e-06	5.530125e-01	-1.638674e+00	2.191686e+00
30.2781       	1.953640e-06	5.530093e-01	-1.638668e+00	2.191677e+00
30.2838       	1.953640e-06	5.530061e-01	-1.638662e+00	2.191668e+00
30.2894       	1.953640e-06	5.530029e-01	-1.638656e+00	2.191659e+00
30.2951       	1.953640e-06	5.529998e-01	-1.638650e+00	2.191650e+00
30.3008       	1.953640e-06	5.529967e-01	-1.638644e+00	2.191641e+00
30.3065       	1.953640e-06	5.529935e-01	-1.638639e+00	2.191632e+00
30.3121       	1.953640e-06	5.529904e-01	-1.638633e+00	2.191623e+00
30.3178       	1.953640e-06	5.529874e-01	-1.638627e+00	2.191614e+00
30.3235       	1.953640e-06	5.529843e-01	-1.638621e+00	2.191606e+00
30.3292       	1.953640e-06	5.529813e-01	-1.638616e+00	2.191597e+00
30.3348       	1.953640e-06	5.529783e-01	-1.638610e+00	2.191588e+00
30.3405       	1.953640e-06	5.529753e-01	-1.638604e+00	2.191579e+00
30.3462       	1.953640e-06	5.529723e-01	-1.638598e+00	2.191571e+00
30.3519       	1.953640e-06	5.529693e-01	-1.638593e+00	2.191562e+00
30.3575       	1.953640e-06	5.529664e-01	-1.638587e+00	2.191553e+00
30.3632       	1.953640e-06	5.529635e-01	-1.638581e+00	2.191545e+00
30.3689       	1.953640e-06	5.529606e-01	-1.638576e+00	2.191536e+00
30.3746       	1.953640e-06	5.529577e-01	-1.638570e+00	2.191528e+00
30.3802       	1.953640e-06	5.529549e-01	-1.638565e+00	2.191519e+00
30.3859       	1.953640e-06	5.529520e-01	-1.638559e+00	2.191511e+00
30.3916       	1.953640e-06	5.529492e-01	-1.638553e+00	2.191503e+00
30.3973       	1.953640e-06	5.529464e-01	-1.638548e+00	2.191494e+00
30.403        	1.953640e-06	5.529437e-01	-1.638542e+00	2.191486e+00
30.4086       	1.953640e-06	5.529409e-01	-1.638537e+00	2.191478e+00
30.4143       	1.953640e-06	5.529382e-01	-1.638531e+00	2.191470e+00
30.42         	1.953640e-06	5.529355e-01	-1.638526e+00	2.191461e+00
30.4257       	1.953640e-06	5.529328e-01	-1.638520e+00	2.191453e+00
30.4313       	1.953640e-06	5.529301e-01	-1.638515e+00	2.191445e+00
30.437        	1.953640e-06	5.529274e-01	-1.638510e+00	2.191437e+00
30.4427       	1.953640e-06	5.529248e-01	-1.638504e+00	2.191429e+00
30.4484       	1.953640e-06	5.529222e-01	-1.638499e+00	2.191421e+00
30.454        	1.953640e-06	5.529196e-01	-1.638493e+00	2.191413e+00
30.4597       	1.953640e-06	5.529170e-01	-1.638488e+00	2.191405e+00
30.4654       	1.953640e-06	5.529144e-01	-1.638483e+00	2.191397e+00
30.4711       	1.953640e-06	5.529119e-01	-1.638477e+00	2.191389e+00
30.4767       	1.953640e-06	5.529094e-01	-1.638472e+00	2.191381e+00
30.4824       	1.953640e-06	5.529069e-01	-1.638467e+00	2.191374e+00
30.4881       	1.953640e-06	5.529044e-01	-1.638461e+00	2.191366e+00
30.4938       	1.953640e-06	5.529019e-01	-1.638456e+00	2.191358e+00
30.4994       	1.953640e-06	5.528995e-01	-1.638451e+00	2.191350e+00
30.5051       	1.953640e-06	5.528971e-01	-1.638446e+00	2.191343e+00
30.5108       	1.953640e-06	5.528947e-01	-1.638441e+00	2.191335e+00
30.5165       	1.953640e-06	5.528923e-01	-1.638435e+00	2.191328e+00
30.5221       	1.953640e-06	5.528899e-01	-1.638430e+00	2.191320e+00
30.5278       	1.953640e-06	5.528876e-01	-1.638425e+00	2.191313e+00
30.5335       	1.953640e-06	5.528852e-01	-1.638420e+00	2.191305e+00
30.5392       	1.953640e-06	5.528829e-01	-1.638415e+00	2.191298e+00
30.5448       	1.953640e-06	5.528806e-01	-1.638410e+00	2.191290e+00
30.5505       	1.953640e-06	5.528784e-01	-1.638405e+00	2.191283e+00
30.5562       	1.953640e-06	5.528761e-01	-1.638399e+00	2.191276e+00
30.5619       	1.953640e-06	5.528739e-01	-1.638394e+00	2.191268e+00
30.5675       	1.953640e-06	5.528716e-01	-1.638389e+00	2.191261e+00
30.5732       	1.953640e-06	5.528694e-01	-1.638384e+00	2.191254e+00
30.5789       	1.953640e-06	5.528673e-01	-1.638379e+00	2.191247e+00
30.5846       	1.953640e-06	5.528651e-01	-1.638374e+00	2.191239e+00
30.5902       	1.953640e-06	5.528630e-01	-1.638369e+00	2.191232e+00
30.5959       	1.953640e-06	5.528608e-01	-1.638364e+00	2.191225e+00
30.6016       	1.953640e-06	5.528587e-01	-1.638359e+00	2.191218e+00
30.6073       	1.953640e-06	5.528566e-01	-1.638355e+00	2.191211e+00
30.6129       	1.953640e-06	5.528546e-01	-1.638350e+00	2.191204e+00
30.6186       	1.953640e-06	5.528525e-01	-1.638345e+00	2.191197e+00
30.6243       	1.953640e-06	5.528505e-01	-1.638340e+00	2.191190e+00
30.63         	1.953640e-06	5.528485e-01	-1.638335e+00	2.191183e+00
30.6356       	1.953640e-06	5.528465e-01	-1.638330e+00	2.191177e+00
30.6413       	1.953640e-06	5.528445e-01	-1.638325e+00	2.191170e+00
30.647        	1.953640e-06	5.528425e-01	-1.638320e+00	2.191163e+00
30.6527       	1.953640e-06	5.528406e-01	-1.638316e+00	2.191156e+00
30.6583       	1.953640e-06	5.528387e-01	-1.638311e+00	2.191150e+00
30.664        	1.953640e-06	5.528368e-01	-1.638306e+00	2.191143e+00
30.6697       	1.953640e-06	5.528349e-01	-1.638301e+00	2.191136e+00
30.6754       	1.953640e-06	5.528330e-01	-1.638297e+00	2.191130e+00
30.681        	1.953640e-06	5.528311e-01	-1.638292e+00	2.191123e+00
30.6867       	1.953640e-06	5.528293e-01	-1.638287e+00	2.191116e+00
30.6924       	1.953640e-06	5.528275e-01	-1.638282e+00	2.191110e+00
30.6981       	1.953640e-06	5.528257e-01	-1.638278e+00	2.191103e+00
30.7037       	1.953640e-06	5.528239e-01	-1.638273e+00	2.191097e+00
30.7094       	1.953640e-06	5.528221e-01	-1.638268e+00	2.191091e+00
30.7151       	1.953640e-06	5.528204e-01	-1.638264e+00	2.191084e+00
30.7208       	1.953640e-06	5.528187e-01	-1.638259e+00	2.191078e+00
30.7264       	1.953640e-06	5.528170e-01	-1.638255e+00	2.191072e+00
30.7321       	1.953640e-06	5.528153e-01	-1.638250e+00	2.191065e+00
30.7378       	1.953640e-06	5.528136e-01	-1.638245e+00	2.191059e+00
30.7435       	1.953640e-06	5.528119e-01	-1.638241e+00	2.191053e+00
30.7491       	1.953640e-06	5.528103e-01	-1.638236e+00	2.191047e+00
30.7548       	1.953640e-06	5.528086e-01	-1.638232e+00	2.191041e+00
30.7605       	1.953640e-06	5.528070e-01	-1.638227e+00	2.191034e+00
30.7662       	1.953640e-06	5.528054e-01	-1.638223e+00	2.191028e+00
30.7719       	1.953640e-06	5.528039e-01	-1.638218e+00	2.191022e+00
30.7775       	1.953640e-06	5.528023e-01	-1.638214e+00	2.191016e+00
30.7832       	1.953640e-06	5.528008e-01	-1.638210e+00	2.191010e+00
30.7889       	1.953640e-06	5.527993e-01	-1.638205e+00	2.191004e+00
30.7946       	1.953640e-06	5.527977e-01	-1.638201e+00	2.190998e+00
30.8002       	1.953640e-06	5.527963e-01	-1.638196e+00	2.190993e+00
30.8059       	1.953640e-06	5.527948e-01	-1.638192e+00	2.190987e+00
30.8116       	1.953640e-06	5.527933e-01	-1.638188e+00	2.190981e+00
30.8173       	1.953640e-06	5.527919e-01	-1.638183e+00	2.190975e+00
30.8229       	1.953640e-06	5.527905e-01	-1.638179e+00	2.190969e+00
30.8286       	1.953640e-06	5.527891e-01	-1.638175e+00	2.190964e+00
30.8343       	1.953640e-06	5.527877e-01	-1.638170e+00	2.190958e+00
30.84         	1.953640e-06	5.527863e-01	-1.638166e+00	2.190952e+00
30.8456       	1.953640e-06	5.527849e-01	-1.638162e+00	2.190947e+00
30.8513       	1.953640e-06	5.527836e-01	-1.638157e+00	2.190941e+00
30.857        	1.953640e-06	5.527823e-01	-1.638153e+00	2.190935e+00
30.8627       	1.953640e-06	5.527810e-01	-1.638149e+00	2.190930e+00
30.8683       	1.953640e-06	5.527797e-01	-1.638145e+00	2.190924e+00
30.874        	1.953640e-06	5.527784e-01	-1.638141e+00	2.190919e+00
30.8797       	1.953640e-06	5.527771e-01	-1.638136e+00	2.190914e+00
30.8854       	1.953640e-06	5.527759e-01	-1.638132e+00	2.190908e+00
30.891        	1.953640e-06	5.527747e-01	-1.638128e+00	2.190903e+00
30.8967       	1.953640e-06	5.527735e-01	-1.638124e+00	2.190897e+00
30.9024       	1.953640e-06	5.527723e-01	-1.638120e+00	2.190892e+00
30.9081       	1.953640e-06	5.527711e-01	-1.638116e+00	2.190887e+00
30.9137       	1.953640e-06	5.527699e-01	-1.638112e+00	2.190882e+00
30.9194       	1.953640e-06	5.527688e-01	-1.638108e+00	2.190876e+00
30.9251       	1.953640e-06	5.527677e-01	-1.638104e+00	2.190871e+00
30.9308       	1.953640e-06	5.527666e-01	-1.638099e+00	2.190866e+00
30.9364       	1.953640e-06	5.527655e-01	-1.638095e+00	2.190861e+00
30.9421       	1.953640e-06	5.527644e-01	-1.638091e+00	2.190856e+00
30.9478       	1.953640e-06	5.527633e-01	-1.638087e+00	2.190851e+00
