# Region type : surface veryTop
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	2.088859e-01	-1.923312e+00	2.132198e+00
30.0057       	1.953640e-06	2.088859e-01	-1.923310e+00	2.132195e+00
30.0114       	1.953640e-06	2.088859e-01	-1.923307e+00	2.132193e+00
30.017        	1.953640e-06	2.088859e-01	-1.923304e+00	2.132190e+00
30.0227       	1.953640e-06	2.088859e-01	-1.923302e+00	2.132188e+00
30.0284       	1.953640e-06	2.088859e-01	-1.923299e+00	2.132185e+00
30.0341       	1.953640e-06	2.088859e-01	-1.923296e+00	2.132182e+00
30.0397       	1.953640e-06	2.088859e-01	-1.923294e+00	2.132180e+00
30.0454       	1.953640e-06	2.088859e-01	-1.923291e+00	2.132177e+00
30.0511       	1.953640e-06	2.088859e-01	-1.923289e+00	2.132175e+00
30.0568       	1.953640e-06	2.088859e-01	-1.923286e+00	2.132172e+00
30.0624       	1.953640e-06	2.088860e-01	-1.923284e+00	2.132170e+00
30.0681       	1.953640e-06	2.088860e-01	-1.923281e+00	2.132167e+00
30.0738       	1.953640e-06	2.088860e-01	-1.923279e+00	2.132165e+00
30.0795       	1.953640e-06	2.088861e-01	-1.923276e+00	2.132162e+00
30.0851       	1.953640e-06	2.088861e-01	-1.923274e+00	2.132160e+00
30.0908       	1.953640e-06	2.088862e-01	-1.923271e+00	2.132157e+00
30.0965       	1.953640e-06	2.088862e-01	-1.923269e+00	2.132155e+00
30.1022       	1.953640e-06	2.088863e-01	-1.923266e+00	2.132152e+00
30.1078       	1.953640e-06	2.088864e-01	-1.923264e+00	2.132150e+00
30.1135       	1.953640e-06	2.088864e-01	-1.923261e+00	2.132148e+00
30.1192       	1.953640e-06	2.088865e-01	-1.923259e+00	2.132145e+00
30.1249       	1.953640e-06	2.088866e-01	-1.923256e+00	2.132143e+00
30.1305       	1.953640e-06	2.088867e-01	-1.923254e+00	2.132140e+00
30.1362       	1.953640e-06	2.088868e-01	-1.923251e+00	2.132138e+00
30.1419       	1.953640e-06	2.088869e-01	-1.923249e+00	2.132136e+00
30.1476       	1.953640e-06	2.088870e-01	-1.923246e+00	2.132133e+00
30.1532       	1.953640e-06	2.088871e-01	-1.923244e+00	2.132131e+00
30.1589       	1.953640e-06	2.088872e-01	-1.923242e+00	2.132129e+00
30.1646       	1.953640e-06	2.088873e-01	-1.923239e+00	2.132126e+00
30.1703       	1.953640e-06	2.088874e-01	-1.923237e+00	2.132124e+00
30.1759       	1.953640e-06	2.088875e-01	-1.923234e+00	2.132122e+00
30.1816       	1.953640e-06	2.088876e-01	-1.923232e+00	2.132120e+00
30.1873       	1.953640e-06	2.088877e-01	-1.923230e+00	2.132117e+00
30.193        	1.953640e-06	2.088879e-01	-1.923227e+00	2.132115e+00
30.1986       	1.953640e-06	2.088880e-01	-1.923225e+00	2.132113e+00
30.2043       	1.953640e-06	2.088882e-01	-1.923223e+00	2.132111e+00
30.21         	1.953640e-06	2.088883e-01	-1.923220e+00	2.132109e+00
30.2157       	1.953640e-06	2.088884e-01	-1.923218e+00	2.132107e+00
30.2213       	1.953640e-06	2.088886e-01	-1.923216e+00	2.132104e+00
30.227        	1.953640e-06	2.088888e-01	-1.923214e+00	2.132102e+00
30.2327       	1.953640e-06	2.088889e-01	-1.923211e+00	2.132100e+00
30.2384       	1.953640e-06	2.088891e-01	-1.923209e+00	2.132098e+00
30.244        	1.953640e-06	2.088893e-01	-1.923207e+00	2.132096e+00
30.2497       	1.953640e-06	2.088894e-01	-1.923204e+00	2.132094e+00
30.2554       	1.953640e-06	2.088896e-01	-1.923202e+00	2.132092e+00
30.2611       	1.953640e-06	2.088898e-01	-1.923200e+00	2.132090e+00
30.2667       	1.953640e-06	2.088900e-01	-1.923198e+00	2.132088e+00
30.2724       	1.953640e-06	2.088902e-01	-1.923196e+00	2.132086e+00
30.2781       	1.953640e-06	2.088904e-01	-1.923193e+00	2.132084e+00
30.2838       	1.953640e-06	2.088906e-01	-1.923191e+00	2.132082e+00
30.2894       	1.953640e-06	2.088908e-01	-1.923189e+00	2.132080e+00
30.2951       	1.953640e-06	2.088910e-01	-1.923187e+00	2.132078e+00
30.3008       	1.953640e-06	2.088912e-01	-1.923185e+00	2.132076e+00
30.3065       	1.953640e-06	2.088914e-01	-1.923182e+00	2.132074e+00
30.3121       	1.953640e-06	2.088916e-01	-1.923180e+00	2.132072e+00
30.3178       	1.953640e-06	2.088918e-01	-1.923178e+00	2.132070e+00
30.3235       	1.953640e-06	2.088921e-01	-1.923176e+00	2.132068e+00
30.3292       	1.953640e-06	2.088923e-01	-1.923174e+00	2.132066e+00
30.3348       	1.953640e-06	2.088925e-01	-1.923172e+00	2.132064e+00
30.3405       	1.953640e-06	2.088928e-01	-1.923170e+00	2.132062e+00
30.3462       	1.953640e-06	2.088930e-01	-1.923168e+00	2.132061e+00
30.3519       	1.953640e-06	2.088933e-01	-1.923166e+00	2.132059e+00
30.3575       	1.953640e-06	2.088935e-01	-1.923163e+00	2.132057e+00
30.3632       	1.953640e-06	2.088938e-01	-1.923161e+00	2.132055e+00
30.3689       	1.953640e-06	2.088940e-01	-1.923159e+00	2.132053e+00
30.3746       	1.953640e-06	2.088943e-01	-1.923157e+00	2.132052e+00
30.3802       	1.953640e-06	2.088946e-01	-1.923155e+00	2.132050e+00
30.3859       	1.953640e-06	2.088949e-01	-1.923153e+00	2.132048e+00
30.3916       	1.953640e-06	2.088951e-01	-1.923151e+00	2.132046e+00
30.3973       	1.953640e-06	2.088954e-01	-1.923149e+00	2.132045e+00
30.403        	1.953640e-06	2.088957e-01	-1.923147e+00	2.132043e+00
30.4086       	1.953640e-06	2.088960e-01	-1.923145e+00	2.132041e+00
30.4143       	1.953640e-06	2.088963e-01	-1.923143e+00	2.132040e+00
30.42         	1.953640e-06	2.088966e-01	-1.923141e+00	2.132038e+00
30.4257       	1.953640e-06	2.088969e-01	-1.923139e+00	2.132036e+00
30.4313       	1.953640e-06	2.088972e-01	-1.923137e+00	2.132035e+00
30.437        	1.953640e-06	2.088975e-01	-1.923135e+00	2.132033e+00
30.4427       	1.953640e-06	2.088978e-01	-1.923134e+00	2.132031e+00
30.4484       	1.953640e-06	2.088981e-01	-1.923132e+00	2.132030e+00
30.454        	1.953640e-06	2.088984e-01	-1.923130e+00	2.132028e+00
30.4597       	1.953640e-06	2.088988e-01	-1.923128e+00	2.132027e+00
30.4654       	1.953640e-06	2.088991e-01	-1.923126e+00	2.132025e+00
30.4711       	1.953640e-06	2.088994e-01	-1.923124e+00	2.132023e+00
30.4767       	1.953640e-06	2.088998e-01	-1.923122e+00	2.132022e+00
30.4824       	1.953640e-06	2.089001e-01	-1.923120e+00	2.132020e+00
30.4881       	1.953640e-06	2.089005e-01	-1.923118e+00	2.132019e+00
30.4938       	1.953640e-06	2.089008e-01	-1.923117e+00	2.132017e+00
30.4994       	1.953640e-06	2.089012e-01	-1.923115e+00	2.132016e+00
30.5051       	1.953640e-06	2.089015e-01	-1.923113e+00	2.132015e+00
30.5108       	1.953640e-06	2.089019e-01	-1.923111e+00	2.132013e+00
30.5165       	1.953640e-06	2.089022e-01	-1.923109e+00	2.132012e+00
30.5221       	1.953640e-06	2.089026e-01	-1.923108e+00	2.132010e+00
30.5278       	1.953640e-06	2.089030e-01	-1.923106e+00	2.132009e+00
30.5335       	1.953640e-06	2.089033e-01	-1.923104e+00	2.132007e+00
30.5392       	1.953640e-06	2.089037e-01	-1.923102e+00	2.132006e+00
30.5448       	1.953640e-06	2.089041e-01	-1.923101e+00	2.132005e+00
30.5505       	1.953640e-06	2.089045e-01	-1.923099e+00	2.132003e+00
30.5562       	1.953640e-06	2.089049e-01	-1.923097e+00	2.132002e+00
30.5619       	1.953640e-06	2.089053e-01	-1.923095e+00	2.132001e+00
30.5675       	1.953640e-06	2.089057e-01	-1.923094e+00	2.131999e+00
30.5732       	1.953640e-06	2.089061e-01	-1.923092e+00	2.131998e+00
30.5789       	1.953640e-06	2.089065e-01	-1.923090e+00	2.131997e+00
30.5846       	1.953640e-06	2.089069e-01	-1.923089e+00	2.131996e+00
30.5902       	1.953640e-06	2.089073e-01	-1.923087e+00	2.131994e+00
30.5959       	1.953640e-06	2.089077e-01	-1.923085e+00	2.131993e+00
30.6016       	1.953640e-06	2.089081e-01	-1.923084e+00	2.131992e+00
30.6073       	1.953640e-06	2.089086e-01	-1.923082e+00	2.131991e+00
30.6129       	1.953640e-06	2.089090e-01	-1.923080e+00	2.131989e+00
30.6186       	1.953640e-06	2.089094e-01	-1.923079e+00	2.131988e+00
30.6243       	1.953640e-06	2.089098e-01	-1.923077e+00	2.131987e+00
30.63         	1.953640e-06	2.089103e-01	-1.923076e+00	2.131986e+00
30.6356       	1.953640e-06	2.089107e-01	-1.923074e+00	2.131985e+00
30.6413       	1.953640e-06	2.089112e-01	-1.923072e+00	2.131984e+00
30.647        	1.953640e-06	2.089116e-01	-1.923071e+00	2.131982e+00
30.6527       	1.953640e-06	2.089121e-01	-1.923069e+00	2.131981e+00
30.6583       	1.953640e-06	2.089125e-01	-1.923068e+00	2.131980e+00
30.664        	1.953640e-06	2.089130e-01	-1.923066e+00	2.131979e+00
30.6697       	1.953640e-06	2.089134e-01	-1.923065e+00	2.131978e+00
30.6754       	1.953640e-06	2.089139e-01	-1.923063e+00	2.131977e+00
30.681        	1.953640e-06	2.089144e-01	-1.923062e+00	2.131976e+00
30.6867       	1.953640e-06	2.089148e-01	-1.923060e+00	2.131975e+00
30.6924       	1.953640e-06	2.089153e-01	-1.923059e+00	2.131974e+00
30.6981       	1.953640e-06	2.089158e-01	-1.923057e+00	2.131973e+00
30.7037       	1.953640e-06	2.089163e-01	-1.923056e+00	2.131972e+00
30.7094       	1.953640e-06	2.089168e-01	-1.923054e+00	2.131971e+00
30.7151       	1.953640e-06	2.089172e-01	-1.923053e+00	2.131970e+00
30.7208       	1.953640e-06	2.089177e-01	-1.923051e+00	2.131969e+00
30.7264       	1.953640e-06	2.089182e-01	-1.923050e+00	2.131968e+00
30.7321       	1.953640e-06	2.089187e-01	-1.923049e+00	2.131967e+00
30.7378       	1.953640e-06	2.089192e-01	-1.923047e+00	2.131966e+00
30.7435       	1.953640e-06	2.089197e-01	-1.923046e+00	2.131966e+00
30.7491       	1.953640e-06	2.089203e-01	-1.923044e+00	2.131965e+00
30.7548       	1.953640e-06	2.089208e-01	-1.923043e+00	2.131964e+00
30.7605       	1.953640e-06	2.089213e-01	-1.923042e+00	2.131963e+00
30.7662       	1.953640e-06	2.089218e-01	-1.923040e+00	2.131962e+00
30.7719       	1.953640e-06	2.089223e-01	-1.923039e+00	2.131961e+00
30.7775       	1.953640e-06	2.089229e-01	-1.923038e+00	2.131961e+00
30.7832       	1.953640e-06	2.089234e-01	-1.923036e+00	2.131960e+00
30.7889       	1.953640e-06	2.089239e-01	-1.923035e+00	2.131959e+00
30.7946       	1.953640e-06	2.089244e-01	-1.923034e+00	2.131958e+00
30.8002       	1.953640e-06	2.089250e-01	-1.923032e+00	2.131957e+00
30.8059       	1.953640e-06	2.089255e-01	-1.923031e+00	2.131957e+00
30.8116       	1.953640e-06	2.089261e-01	-1.923030e+00	2.131956e+00
30.8173       	1.953640e-06	2.089266e-01	-1.923029e+00	2.131955e+00
30.8229       	1.953640e-06	2.089272e-01	-1.923027e+00	2.131955e+00
30.8286       	1.953640e-06	2.089277e-01	-1.923026e+00	2.131954e+00
30.8343       	1.953640e-06	2.089283e-01	-1.923025e+00	2.131953e+00
30.84         	1.953640e-06	2.089288e-01	-1.923024e+00	2.131953e+00
30.8456       	1.953640e-06	2.089294e-01	-1.923022e+00	2.131952e+00
30.8513       	1.953640e-06	2.089300e-01	-1.923021e+00	2.131951e+00
30.857        	1.953640e-06	2.089306e-01	-1.923020e+00	2.131951e+00
30.8627       	1.953640e-06	2.089311e-01	-1.923019e+00	2.131950e+00
30.8683       	1.953640e-06	2.089317e-01	-1.923018e+00	2.131949e+00
30.874        	1.953640e-06	2.089323e-01	-1.923017e+00	2.131949e+00
30.8797       	1.953640e-06	2.089329e-01	-1.923015e+00	2.131948e+00
30.8854       	1.953640e-06	2.089335e-01	-1.923014e+00	2.131948e+00
30.891        	1.953640e-06	2.089340e-01	-1.923013e+00	2.131947e+00
30.8967       	1.953640e-06	2.089346e-01	-1.923012e+00	2.131947e+00
30.9024       	1.953640e-06	2.089352e-01	-1.923011e+00	2.131946e+00
30.9081       	1.953640e-06	2.089358e-01	-1.923010e+00	2.131946e+00
30.9137       	1.953640e-06	2.089364e-01	-1.923009e+00	2.131945e+00
30.9194       	1.953640e-06	2.089370e-01	-1.923008e+00	2.131945e+00
30.9251       	1.953640e-06	2.089376e-01	-1.923007e+00	2.131944e+00
30.9308       	1.953640e-06	2.089383e-01	-1.923006e+00	2.131944e+00
30.9364       	1.953640e-06	2.089389e-01	-1.923005e+00	2.131943e+00
30.9421       	1.953640e-06	2.089395e-01	-1.923003e+00	2.131943e+00
30.9478       	1.953640e-06	2.089401e-01	-1.923002e+00	2.131943e+00
30.9535       	1.953640e-06	2.089407e-01	-1.923001e+00	2.131942e+00
30.9591       	1.953640e-06	2.089414e-01	-1.923000e+00	2.131942e+00
30.9648       	1.953640e-06	2.089420e-01	-1.922999e+00	2.131941e+00
30.9705       	1.953640e-06	2.089426e-01	-1.922998e+00	2.131941e+00
30.9762       	1.953640e-06	2.089432e-01	-1.922998e+00	2.131941e+00
30.9818       	1.953640e-06	2.089439e-01	-1.922997e+00	2.131940e+00
30.9875       	1.953640e-06	2.089445e-01	-1.922996e+00	2.131940e+00
30.9932       	1.953640e-06	2.089452e-01	-1.922995e+00	2.131940e+00
30.9989       	1.953640e-06	2.089458e-01	-1.922994e+00	2.131940e+00
31.0045       	1.953640e-06	2.089465e-01	-1.922993e+00	2.131939e+00
31.0102       	1.953640e-06	2.089471e-01	-1.922992e+00	2.131939e+00
31.0159       	1.953640e-06	2.089478e-01	-1.922991e+00	2.131939e+00
31.0216       	1.953640e-06	2.089484e-01	-1.922990e+00	2.131939e+00
31.0272       	1.953640e-06	2.089491e-01	-1.922989e+00	2.131938e+00
31.0329       	1.953640e-06	2.089497e-01	-1.922988e+00	2.131938e+00
