# Region type : surface veryTop
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	2.364223e-01	-1.923312e+00	2.159735e+00
30.0057       	1.953640e-06	2.364223e-01	-1.923310e+00	2.159732e+00
30.0114       	1.953640e-06	2.364223e-01	-1.923307e+00	2.159729e+00
30.017        	1.953640e-06	2.364223e-01	-1.923304e+00	2.159727e+00
30.0227       	1.953640e-06	2.364223e-01	-1.923302e+00	2.159724e+00
30.0284       	1.953640e-06	2.364223e-01	-1.923299e+00	2.159721e+00
30.0341       	1.953640e-06	2.364223e-01	-1.923296e+00	2.159719e+00
30.0397       	1.953640e-06	2.364223e-01	-1.923294e+00	2.159716e+00
30.0454       	1.953640e-06	2.364223e-01	-1.923291e+00	2.159714e+00
30.0511       	1.953640e-06	2.364223e-01	-1.923289e+00	2.159711e+00
30.0568       	1.953640e-06	2.364224e-01	-1.923286e+00	2.159709e+00
30.0624       	1.953640e-06	2.364224e-01	-1.923284e+00	2.159706e+00
30.0681       	1.953640e-06	2.364224e-01	-1.923281e+00	2.159704e+00
30.0738       	1.953640e-06	2.364225e-01	-1.923279e+00	2.159701e+00
30.0795       	1.953640e-06	2.364225e-01	-1.923276e+00	2.159699e+00
30.0851       	1.953640e-06	2.364226e-01	-1.923274e+00	2.159696e+00
30.0908       	1.953640e-06	2.364226e-01	-1.923271e+00	2.159694e+00
30.0965       	1.953640e-06	2.364227e-01	-1.923269e+00	2.159691e+00
30.1022       	1.953640e-06	2.364228e-01	-1.923266e+00	2.159689e+00
30.1078       	1.953640e-06	2.364228e-01	-1.923264e+00	2.159686e+00
30.1135       	1.953640e-06	2.364229e-01	-1.923261e+00	2.159684e+00
30.1192       	1.953640e-06	2.364230e-01	-1.923259e+00	2.159682e+00
30.1249       	1.953640e-06	2.364231e-01	-1.923256e+00	2.159679e+00
30.1305       	1.953640e-06	2.364232e-01	-1.923254e+00	2.159677e+00
30.1362       	1.953640e-06	2.364233e-01	-1.923251e+00	2.159675e+00
30.1419       	1.953640e-06	2.364234e-01	-1.923249e+00	2.159672e+00
30.1476       	1.953640e-06	2.364235e-01	-1.923246e+00	2.159670e+00
30.1532       	1.953640e-06	2.364236e-01	-1.923244e+00	2.159668e+00
30.1589       	1.953640e-06	2.364237e-01	-1.923242e+00	2.159665e+00
30.1646       	1.953640e-06	2.364238e-01	-1.923239e+00	2.159663e+00
30.1703       	1.953640e-06	2.364240e-01	-1.923237e+00	2.159661e+00
30.1759       	1.953640e-06	2.364241e-01	-1.923234e+00	2.159659e+00
30.1816       	1.953640e-06	2.364242e-01	-1.923232e+00	2.159656e+00
30.1873       	1.953640e-06	2.364244e-01	-1.923230e+00	2.159654e+00
30.193        	1.953640e-06	2.364245e-01	-1.923227e+00	2.159652e+00
30.1986       	1.953640e-06	2.364247e-01	-1.923225e+00	2.159650e+00
30.2043       	1.953640e-06	2.364248e-01	-1.923223e+00	2.159648e+00
30.21         	1.953640e-06	2.364250e-01	-1.923220e+00	2.159645e+00
30.2157       	1.953640e-06	2.364252e-01	-1.923218e+00	2.159643e+00
30.2213       	1.953640e-06	2.364254e-01	-1.923216e+00	2.159641e+00
30.227        	1.953640e-06	2.364255e-01	-1.923214e+00	2.159639e+00
30.2327       	1.953640e-06	2.364257e-01	-1.923211e+00	2.159637e+00
30.2384       	1.953640e-06	2.364259e-01	-1.923209e+00	2.159635e+00
30.244        	1.953640e-06	2.364261e-01	-1.923207e+00	2.159633e+00
30.2497       	1.953640e-06	2.364263e-01	-1.923204e+00	2.159631e+00
30.2554       	1.953640e-06	2.364265e-01	-1.923202e+00	2.159629e+00
30.2611       	1.953640e-06	2.364267e-01	-1.923200e+00	2.159627e+00
30.2667       	1.953640e-06	2.364269e-01	-1.923198e+00	2.159625e+00
30.2724       	1.953640e-06	2.364271e-01	-1.923196e+00	2.159623e+00
30.2781       	1.953640e-06	2.364273e-01	-1.923193e+00	2.159621e+00
30.2838       	1.953640e-06	2.364276e-01	-1.923191e+00	2.159619e+00
30.2894       	1.953640e-06	2.364278e-01	-1.923189e+00	2.159617e+00
30.2951       	1.953640e-06	2.364280e-01	-1.923187e+00	2.159615e+00
30.3008       	1.953640e-06	2.364283e-01	-1.923185e+00	2.159613e+00
30.3065       	1.953640e-06	2.364285e-01	-1.923182e+00	2.159611e+00
30.3121       	1.953640e-06	2.364288e-01	-1.923180e+00	2.159609e+00
30.3178       	1.953640e-06	2.364290e-01	-1.923178e+00	2.159607e+00
30.3235       	1.953640e-06	2.364293e-01	-1.923176e+00	2.159605e+00
30.3292       	1.953640e-06	2.364295e-01	-1.923174e+00	2.159603e+00
30.3348       	1.953640e-06	2.364298e-01	-1.923172e+00	2.159602e+00
30.3405       	1.953640e-06	2.364301e-01	-1.923170e+00	2.159600e+00
30.3462       	1.953640e-06	2.364304e-01	-1.923168e+00	2.159598e+00
30.3519       	1.953640e-06	2.364306e-01	-1.923166e+00	2.159596e+00
30.3575       	1.953640e-06	2.364309e-01	-1.923163e+00	2.159594e+00
30.3632       	1.953640e-06	2.364312e-01	-1.923161e+00	2.159593e+00
30.3689       	1.953640e-06	2.364315e-01	-1.923159e+00	2.159591e+00
30.3746       	1.953640e-06	2.364318e-01	-1.923157e+00	2.159589e+00
30.3802       	1.953640e-06	2.364321e-01	-1.923155e+00	2.159587e+00
30.3859       	1.953640e-06	2.364324e-01	-1.923153e+00	2.159586e+00
30.3916       	1.953640e-06	2.364327e-01	-1.923151e+00	2.159584e+00
30.3973       	1.953640e-06	2.364331e-01	-1.923149e+00	2.159582e+00
30.403        	1.953640e-06	2.364334e-01	-1.923147e+00	2.159581e+00
30.4086       	1.953640e-06	2.364337e-01	-1.923145e+00	2.159579e+00
30.4143       	1.953640e-06	2.364341e-01	-1.923143e+00	2.159577e+00
30.42         	1.953640e-06	2.364344e-01	-1.923141e+00	2.159576e+00
30.4257       	1.953640e-06	2.364347e-01	-1.923139e+00	2.159574e+00
30.4313       	1.953640e-06	2.364351e-01	-1.923137e+00	2.159572e+00
30.437        	1.953640e-06	2.364354e-01	-1.923135e+00	2.159571e+00
30.4427       	1.953640e-06	2.364358e-01	-1.923134e+00	2.159569e+00
30.4484       	1.953640e-06	2.364361e-01	-1.923132e+00	2.159568e+00
30.454        	1.953640e-06	2.364365e-01	-1.923130e+00	2.159566e+00
30.4597       	1.953640e-06	2.364369e-01	-1.923128e+00	2.159565e+00
30.4654       	1.953640e-06	2.364372e-01	-1.923126e+00	2.159563e+00
30.4711       	1.953640e-06	2.364376e-01	-1.923124e+00	2.159562e+00
30.4767       	1.953640e-06	2.364380e-01	-1.923122e+00	2.159560e+00
30.4824       	1.953640e-06	2.364384e-01	-1.923120e+00	2.159559e+00
30.4881       	1.953640e-06	2.364388e-01	-1.923118e+00	2.159557e+00
30.4938       	1.953640e-06	2.364392e-01	-1.923117e+00	2.159556e+00
30.4994       	1.953640e-06	2.364396e-01	-1.923115e+00	2.159554e+00
30.5051       	1.953640e-06	2.364400e-01	-1.923113e+00	2.159553e+00
30.5108       	1.953640e-06	2.364404e-01	-1.923111e+00	2.159552e+00
30.5165       	1.953640e-06	2.364408e-01	-1.923109e+00	2.159550e+00
30.5221       	1.953640e-06	2.364412e-01	-1.923108e+00	2.159549e+00
30.5278       	1.953640e-06	2.364416e-01	-1.923106e+00	2.159547e+00
30.5335       	1.953640e-06	2.364420e-01	-1.923104e+00	2.159546e+00
30.5392       	1.953640e-06	2.364425e-01	-1.923102e+00	2.159545e+00
30.5448       	1.953640e-06	2.364429e-01	-1.923101e+00	2.159543e+00
30.5505       	1.953640e-06	2.364433e-01	-1.923099e+00	2.159542e+00
30.5562       	1.953640e-06	2.364438e-01	-1.923097e+00	2.159541e+00
30.5619       	1.953640e-06	2.364442e-01	-1.923095e+00	2.159540e+00
30.5675       	1.953640e-06	2.364447e-01	-1.923094e+00	2.159538e+00
30.5732       	1.953640e-06	2.364451e-01	-1.923092e+00	2.159537e+00
30.5789       	1.953640e-06	2.364456e-01	-1.923090e+00	2.159536e+00
30.5846       	1.953640e-06	2.364460e-01	-1.923089e+00	2.159535e+00
30.5902       	1.953640e-06	2.364465e-01	-1.923087e+00	2.159533e+00
30.5959       	1.953640e-06	2.364470e-01	-1.923085e+00	2.159532e+00
30.6016       	1.953640e-06	2.364475e-01	-1.923084e+00	2.159531e+00
30.6073       	1.953640e-06	2.364479e-01	-1.923082e+00	2.159530e+00
30.6129       	1.953640e-06	2.364484e-01	-1.923080e+00	2.159529e+00
30.6186       	1.953640e-06	2.364489e-01	-1.923079e+00	2.159528e+00
30.6243       	1.953640e-06	2.364494e-01	-1.923077e+00	2.159527e+00
30.63         	1.953640e-06	2.364499e-01	-1.923076e+00	2.159525e+00
30.6356       	1.953640e-06	2.364504e-01	-1.923074e+00	2.159524e+00
30.6413       	1.953640e-06	2.364509e-01	-1.923072e+00	2.159523e+00
30.647        	1.953640e-06	2.364514e-01	-1.923071e+00	2.159522e+00
30.6527       	1.953640e-06	2.364519e-01	-1.923069e+00	2.159521e+00
30.6583       	1.953640e-06	2.364524e-01	-1.923068e+00	2.159520e+00
30.664        	1.953640e-06	2.364529e-01	-1.923066e+00	2.159519e+00
30.6697       	1.953640e-06	2.364535e-01	-1.923065e+00	2.159518e+00
